table_name,table_description,column_count,pk_columns,fk_columns,fk_target_tables
tbl_analysis_dating_ranges,Storage for analysis values that represents a dating range.,12,analysis_dating_range_id,"age_type_id,analysis_value_id,dating_uncertainty_id,high_qualifier,low_qualifier,season_id","tbl_age_types,tbl_analysis_values,tbl_dating_uncertainty,tbl_seasons,tbl_value_qualifier_symbols"
tbl_analysis_entities,"Represents analysis entities, which are virtual constructs allowing the association of multiple proxies with a single physical sample. This enables the linking of physical samples to various measurements or counts across different methods. Analysis Entities are organized by datasets, which are constructed based on proxy requirements. Refer to the 'Dataset' documentation for more details.",4,analysis_entity_id,"dataset_id,physical_sample_id","tbl_datasets,tbl_physical_samples"
tbl_analysis_entity_ages,"Represents a virtual entity that defines a single proxy within a specific physical sample, acting as a statistical sample. A physical sample can contain multiple analysis entities, each linking various proxies. This structure facilitates the precise recording of specific species used in methods like radiocarbon dating.",9,analysis_entity_age_id,"analysis_entity_id,chronology_id","tbl_analysis_entities,tbl_chronologies"
tbl_analysis_entity_dimensions,"Contains information about the physical dimensions of samples used for analysis, including both analyzed samples and non-analyzed residues.",5,analysis_entity_dimension_id,"analysis_entity_id,dimension_id","tbl_analysis_entities,tbl_dimensions"
tbl_analysis_entity_prep_methods,Links analysis entities with their respective preparation methods.,4,analysis_entity_prep_method_id,"analysis_entity_id,method_id","tbl_analysis_entities,tbl_methods"
tbl_analysis_identifiers,"Storage for identifiers associated to analysis values, or analysis value that represents an identifier.",3,analysis_identifier_id,analysis_value_id,tbl_analysis_values
tbl_analysis_integer_ranges,Storage for analysis values that represents an integer range.,9,analysis_integer_range_id,"analysis_value_id,high_qualifier,low_qualifier","tbl_analysis_values,tbl_value_qualifier_symbols"
tbl_analysis_integer_values,Storage for analysis values that represents an integer value.,5,analysis_integer_value_id,"analysis_value_id,qualifier","tbl_analysis_values,tbl_value_qualifier_symbols"
tbl_analysis_notes,Storage for notes associated to an analysis value.,3,analysis_note_id,analysis_value_id,tbl_analysis_values
tbl_analysis_numerical_ranges,Storage for analysis values that represents a numerical range.,8,analysis_numerical_range_id,"analysis_value_id,high_qualifier,low_qualifier","tbl_analysis_values,tbl_value_qualifier_symbols"
tbl_analysis_numerical_values,Storage for analysis values that represents a numerical.,5,analysis_numerical_value_id,"analysis_value_id,qualifier","tbl_analysis_values,tbl_value_qualifier_symbols"
tbl_analysis_taxon_counts,Storage for analysis values that represents a taxon counts.,4,analysis_taxon_count_id,"analysis_value_id,taxon_id","tbl_analysis_values,tbl_taxa_tree_master"
tbl_analysis_value_dimensions,Storage for dimension of analysis value.,4,analysis_value_dimension_id,"analysis_value_id,dimension_id","tbl_analysis_values,tbl_dimensions"
tbl_analysis_values,Stores results from an analysis as a (untyped) string value.,11,analysis_value_id,"analysis_entity_id,value_class_id","tbl_analysis_entities,tbl_value_classes"
tbl_biblio,"Central repository for storing bibliographic references in the SEAD database. It stores detailed citations, including author, title, year, publisher, and DOI/URL for various sources such as books and articles. This table connects to domain-specific tables via foreign keys, ensuring data integrity and supporting research by centralizing bibliographic information.",12,biblio_id,,
tbl_chronologies,"Represents a collection of dated samples grouped for specific purposes, such as assigning a unified age range to samples in a master dataset or developing an age-depth model for a lake. These chronologies may also be used to integrate with external services that limit the scope of dating evidence, such as GBIF or SBDI.",8,chronology_id,contact_id,tbl_contacts
tbl_colours,"Contains the names and definitions of colours as classified by specific methods or colour spaces, such as Munsell or 2.5YR.",5,colour_id,method_id,tbl_methods
tbl_contact_types,"Specifies various contact types, categorizing them by their roles or functions such as laboratory, sample taker, or dataset creator. This categorization aids in linking contacts to their respective roles within the system.",4,contact_type_id,,
tbl_contacts,"Contains contact information for various roles, such as dataset authors, specimen identifiers, and laboratory managers.",10,contact_id,,
tbl_coordinate_method_dimensions,Defines the dimensions applicable to each coordinate system method and specifies any legal values for these dimensions. Each entry associates a coordinate system method with its corresponding dimensions and their permissible value ranges.,6,coordinate_method_dimension_id,"dimension_id,method_id","tbl_dimensions,tbl_methods"
tbl_data_type_groups,"Contains classifications for various data types, such as relative scale and semi-quantitative.",4,data_type_group_id,,
tbl_data_types,"Specifies the types of quantification methods used in datasets, including definitions of each classification system.",5,data_type_id,data_type_group_id,tbl_data_type_groups
tbl_dataset_contacts,"Contains information about one or more contacts related to a dataset, such as data providers or digitalisers.",5,dataset_contact_id,"contact_id,contact_type_id,dataset_id","tbl_contact_types,tbl_contacts,tbl_datasets"
tbl_dataset_masters,"Represents a major grouping identifier for datasets, typically indicating a contributing database, project, user, or laboratory (e.g., BugsCEP, MAL, Lund Dendro Lab).",8,master_set_id,"biblio_id,contact_id","tbl_biblio,tbl_contacts"
tbl_dataset_methods,NULL,4,dataset_method_id,"dataset_id,method_id","tbl_datasets,tbl_methods"
tbl_dataset_submission_types,"Serves as a lookup for different types of dataset submissions, such as original submissions or data ingested from external databases.",4,submission_type_id,,
tbl_dataset_submissions,"Contains records of various submission events related to a dataset, such as initial recording, database entries, and integrations with SEAD.",7,dataset_submission_id,"contact_id,dataset_id,submission_type_id","tbl_contacts,tbl_dataset_submission_types,tbl_datasets"
tbl_datasets,"Organizes collections of analysis entities into datasets, which are structured collections relevant to the specific proxy being studied. For biological proxies, a dataset typically corresponds to a spreadsheet containing samples and taxa for a single analysis method, such as phosphates through citric acid extraction.",10,dataset_id,"biblio_id,data_type_id,master_set_id,method_id,project_id,updated_dataset_id","tbl_biblio,tbl_data_types,tbl_dataset_masters,tbl_datasets,tbl_methods,tbl_projects"
tbl_dating_labs,Contains identifiers and names of radiocarbon laboratories sourced from radiocarbon.org/laboratories. Ensures transparency and traceability in radiocarbon and other radiometric dating records.,6,dating_lab_id,contact_id,tbl_contacts
tbl_dating_material,"Contains information about materials used for dating processes. Materials can be linked to a specific taxon, pseudotaxon, or described in the 'material_dated' field. Specific components of abundance, such as seeds or elytrons, can also be indicated. A single dating instance may involve multiple materials.",7,dating_material_id,"abundance_element_id,geochron_id,taxon_id","tbl_abundance_elements,tbl_geochronology,tbl_taxa_tree_master"
tbl_dating_uncertainty,"Defines various types of dating uncertainties, such as 'from', 'to', 'circa (Ca.)', and '?'. These uncertainties help specify date ranges or approximate periods, such as 'from Mesolithic to Neolithic' or 'from AD 100 to AD 300'.",4,dating_uncertainty_id,,
tbl_dimensions,"Contains definitions of various measurement types, such as sample weight and core length, categorized by method group.",7,dimension_id,"method_group_id,unit_id","tbl_method_groups,tbl_units"
tbl_ecocode_definitions,"Contains definitions for ecological, habitat, or ethnographic categories, which are linked to specific taxa within a defined classification system.",8,ecocode_definition_id,ecocode_group_id,tbl_ecocode_groups
tbl_ecocode_groups,"Represents a hierarchical classification system for taxon groups, allowing integration of diverse classification types such as habitat, food type, and food condition.",6,ecocode_group_id,ecocode_system_id,tbl_ecocode_systems
tbl_ecocode_systems,"Defines various systems used for classifying specific attributes of taxa, including habitat preferences, food types, and cultural uses.",7,ecocode_system_id,biblio_id,tbl_biblio
tbl_ecocodes,Associates ecological classifications with specific taxa.,4,ecocode_id,"ecocode_definition_id,taxon_id","tbl_ecocode_definitions,tbl_taxa_tree_master"
tbl_feature_properties,NULL,4,feature_property_id,"feature_id,property_type_id","tbl_features,tbl_property_types"
tbl_feature_types,"Categorizes archaeological features by their function, shape, or construction to facilitate the study of historical human activities. Categories include: domestic structures (e.g., homes), public and ceremonial spaces (e.g., temples, public buildings), economic and industrial areas (e.g., workshops, kilns), defensive structures (e.g., fortifications, walls), agricultural modifications (e.g., terraces, irrigation systems), funerary sites (e.g., graves, tombs), transportation routes (e.g., roads, bridges), and water management systems (e.g., wells, aqueducts). These classifications provide insights into societal organization, cultural practices, and technological advancements across various eras and regions.",4,feature_type_id,,
tbl_features,"Represents archaeological features, which are immovable traces of past human activities. These features include structures or landscape modifications such as building remains, hearths, burials, pits, roads, terraces, and defensive constructions like mounds and ditches. They are vital for understanding the spatial organization, cultural practices, and daily life of ancient societies, providing context for interpreting artifacts and environmental interactions. Archaeological features are analyzed in situ through excavation and surveying to offer insights into historical human-environment dynamics.",5,feature_id,feature_type_id,tbl_feature_types
tbl_geochron_refs,Contains references for geochronological (radiometric) dating of samples.,4,geochron_ref_id,"biblio_id,geochron_id","tbl_biblio,tbl_geochronology"
tbl_geochronology,"Contains radiometric dating information for samples, primarily radiocarbon, but also includes other methods such as Uranium series. These are also referred to as absolute dates.",12,geochron_id,"analysis_entity_id,dating_lab_id,dating_uncertainty_id","tbl_analysis_entities,tbl_dating_labs,tbl_dating_uncertainty"
tbl_horizons,"Represents the layer of soil from which samples are taken, classified according to a recognized standard (e.g., FAO A horizon).",5,horizon_id,method_id,tbl_methods
tbl_identification_levels,"Serves as a lookup for taxonomic identification levels, detailing the resolution or uncertainty in identification, such as 'cf. Family', 'cf. Genus', or 'cf. Species'.",5,identification_level_id,,
tbl_imported_taxa_replacements,NULL,4,imported_taxa_replacement_id,taxon_id,tbl_taxa_tree_master
tbl_languages,Specifies human languages used for the common names of taxa.,4,language_id,,
tbl_lithology,"Provides a detailed description of sedimentary units within a sample group. It allows for the characterization of a soil profile at various depths, corresponding to the sample depths (e.g., 0-10 cm: humus, 10-30 cm: sand).",7,lithology_id,sample_group_id,tbl_sample_groups
tbl_location_types,"Contains definitions for various geographical terms, specifying their resolution and context (e.g., administrative unit, historical administrative unit, lake, country).",4,location_type_id,,
tbl_locations,"Represents geographical locations, typically defined by regions. These can be current or historical locations.",6,location_id,location_type_id,tbl_location_types
tbl_measured_value_dimensions,"Stores dimensional measurements of samples, such as weight before and after burning, volume, or other similar metrics.",5,measured_value_dimension_id,"dimension_id,measured_value_id","tbl_dimensions,tbl_measured_values"
tbl_measured_values,Records continuous chemical or physical values related to specific sample analyses. Each Sample Analysis can have zero or one associated Measured Value.,4,measured_value_id,analysis_entity_id,tbl_analysis_entities
tbl_method_groups,"Categorizes various analysis methods into groups based on their similarities, such as dating methods, isotope analyses, palaeoentomology, or geographic location.",4,method_group_id,,
tbl_methods,Contains definitions and details of various analysis methods.,10,method_id,"biblio_id,method_group_id,record_type_id,unit_id","tbl_biblio,tbl_method_groups,tbl_record_types,tbl_units"
tbl_modification_types,"Specifies various modifications or alterations observed in Quaternary or sub-fossils, such as carbonization, mineralization, and fragmentation.",4,modification_type_id,,
tbl_physical_sample_features,"Establishes a many-to-many relationship between samples and specific features, allowing a feature to be related to multiple samples and a sample to be linked to multiple features. This supports scenarios where samples originate from nested feature groups or features with multiple identifiers.",4,physical_sample_feature_id,"feature_id,physical_sample_id","tbl_features,tbl_physical_samples"
tbl_physical_samples,"Records information about physical samples collected from specific sites. Each sample is characterized by its location within the site, its physical properties measured in specific units (e.g., liters, kilograms), and its context within a sample set. Additionally, samples may have descriptive information, notes, and external identifiers linked to other systems.",7,physical_sample_id,"alt_ref_type_id,sample_group_id,sample_type_id","tbl_alt_ref_types,tbl_sample_groups,tbl_sample_types"
tbl_project_stages,"Defines the various stages of an investigation, such as desktop study, prospection, full excavation, and reanalysis.",4,project_stage_id,,
tbl_project_types,"Defines the categories of projects based on their primary purpose or objective, such as teaching, consultancy, research, or their combinations.",4,project_type_id,,
tbl_projects,"Contains information about projects, including their names and descriptions, pertinent to datasets for specific sites.",7,project_id,"project_stage_id,project_type_id","tbl_project_stages,tbl_project_types"
tbl_property_types,NULL,6,property_type_id,"value_class_id,value_type_id","tbl_value_classes,tbl_value_types"
tbl_rdb,"Contains rarity data for taxa within specific geographical areas (e.g., threatened species in Sweden).",5,rdb_id,"location_id,rdb_code_id,taxon_id","tbl_locations,tbl_rdb_codes,tbl_taxa_tree_master"
tbl_rdb_codes,"Definitions of rarity categories across various systems, as specified in tbl_rdb_systems.",5,rdb_code_id,rdb_system_id,tbl_rdb_systems
tbl_rdb_systems,Details of rarity designation systems (commonly known as Red Data Books) and the regions where they are applicable.,9,rdb_system_id,"biblio_id,location_id","tbl_biblio,tbl_locations"
tbl_record_types,"Categorizes biological proxies based on their general usage or origin, enabling the creation of meaningful subsets from the complete taxonomic index and associated abundance elements. It ensures relevance by excluding options like 'seed' from datasets related to insects. The classification is primarily at the 'Order' level in the taxonomic hierarchy. For example, 'Insects & similar' includes insects, arthropods, and other related animals, while 'Plants & pollen' groups entities with shared ecological significance, such as plant presence.",4,record_type_id,,
tbl_relative_age_refs,"Stores bibliographic references that define the accepted authority for a dating period, rather than the dating of a specific sample.",4,relative_age_ref_id,"biblio_id,relative_age_id","tbl_biblio,tbl_relative_ages"
tbl_relative_age_types,"Contains various types of relative ages used in different contexts such as archaeological, Blytt-Sernander, and Geological. These age types can vary in specificity, ranging from well-defined systems like Blytt-Sernander to broader categories like geological periods.",4,relative_age_type_id,,
tbl_relative_ages,"Contains definitions of ages based on historical periods or calendar events, including age ranges and geographical relevance (e.g., Mesolithic in Sweden).",13,relative_age_id,"location_id,relative_age_type_id","tbl_locations,tbl_relative_age_types"
tbl_relative_dates,"Records the relative dating information for samples by associating a relative age definition with a physical sample through an analysis entity. It includes details about dating methods, notes, and indications of uncertainty (e.g., 'from', 'ca', '<').",7,relative_date_id,"analysis_entity_id,dating_uncertainty_id,method_id,relative_age_id","tbl_analysis_entities,tbl_dating_uncertainty,tbl_methods,tbl_relative_ages"
tbl_sample_alt_refs,"Contains various reference names for physical samples, such as laboratory or field numbers.",5,sample_alt_ref_id,"alt_ref_type_id,physical_sample_id","tbl_alt_ref_types,tbl_physical_samples"
tbl_sample_colours,Contains information about the colors related to physical samples.,4,sample_colour_id,"colour_id,physical_sample_id","tbl_colours,tbl_physical_samples"
tbl_sample_coordinates,"Specifies the physical location data of samples. This includes both local grid references and standardized global coordinates, such as latitude and longitude. References a methods that determines the type of grid used, facilitating the plotting of samples on large-scale maps or site-specific projects.",6,sample_coordinate_id,"coordinate_method_dimension_id,physical_sample_id","tbl_coordinate_method_dimensions,tbl_physical_samples"
tbl_sample_description_sample_group_contexts,"Links sample descriptions to their respective group contexts, providing a structured way to manage and categorize sample data.",4,sample_description_sample_group_context_id,"sample_description_type_id,sampling_context_id","tbl_sample_description_types,tbl_sample_group_sampling_contexts"
tbl_sample_description_types,Specifies various types of sample descriptions used in the database.,4,sample_description_type_id,,
tbl_sample_descriptions,Contains detailed descriptions of samples categorized by different description types.,5,sample_description_id,"physical_sample_id,sample_description_type_id","tbl_physical_samples,tbl_sample_description_types"
tbl_sample_dimensions,"Contains measurable dimension data for samples, excluding coordinates. This includes attributes such as volume, weight, and depth within stratigraphy or cores.",7,sample_dimension_id,"dimension_id,method_id,physical_sample_id,qualifier_id","tbl_dimensions,tbl_methods,tbl_physical_samples,tbl_value_qualifiers"
tbl_sample_group_coordinates,"Contains coordinates related to sample groups, such as the top of a core, the top of a profile, or specific locations on dendrochronological or ceramic objects.",6,sample_group_position_id,"coordinate_method_dimension_id,sample_group_id","tbl_coordinate_method_dimensions,tbl_sample_groups"
tbl_sample_group_description_type_sampling_contexts,"Associates description types with sampling methods. Specifically used for dendrochronology to group description types based on detail levels, indicating how fields relate to dendrochronological analysis of buildings.",4,sample_group_description_type_sampling_context_id,"sample_group_description_type_id,sampling_context_id","tbl_sample_group_description_types,tbl_sample_group_sampling_contexts"
tbl_sample_group_description_types,"Categorizes the types of descriptions related to sample groups. It includes types such as architectural data (e.g., roof type, structural details) or dendrochronological anlabels related to shipwrecks. Note that these descriptions are intended to provide context and should not be used to infer specific features of the samples. Users can add custom lookup data.",4,sample_group_description_type_id,,
tbl_sample_group_descriptions,"Contains definitions or descriptions of groups of samples, categorized by a specific description type.",5,sample_group_description_id,"sample_group_description_type_id,sample_group_id","tbl_sample_group_description_types,tbl_sample_groups"
tbl_sample_group_dimensions,"Contains the physical dimensions of a sample group (e.g., core length) based on a specified dimension type.",6,sample_group_dimension_id,"dimension_id,qualifier_id,sample_group_id","tbl_dimensions,tbl_sample_groups,tbl_value_qualifiers"
tbl_sample_group_notes,Contains notes pertaining to groups of samples.,4,sample_group_note_id,sample_group_id,tbl_sample_groups
tbl_sample_group_references,"Contains bibliographic information specifically relevant to a sample group, distinct from site or dataset references (e.g., a publication that reinterprets a structure within a site).",4,sample_group_reference_id,"biblio_id,sample_group_id","tbl_biblio,tbl_sample_groups"
tbl_sample_group_sampling_contexts,"Defines the type of context or situation in which a sample group was collected. It includes the investigation purpose or initial collection intent, such as stratigraphic sequence, invertebrate survey, archaeological excavation, or quantitative vegetation survey. This context aids in filtering and analyzing samples based on specific project types, like climate reconstruction using stratigraphic sequences or habitat analysis using modern survey data.",5,sampling_context_id,,
tbl_sample_groups,"Contains collections of related samples, typically grouped by structures (e.g., House 1), stratigraphic sequences (e.g., profile 3), or lake cores. Groups can be defined flexibly based on research needs.",8,sample_group_id,"method_id,sampling_context_id,site_id","tbl_methods,tbl_sample_group_sampling_contexts,tbl_sites"
tbl_sample_horizons,Represents the specific soil layer from which a sample is collected.,4,sample_horizon_id,"horizon_id,physical_sample_id","tbl_horizons,tbl_physical_samples"
tbl_sample_location_type_sampling_contexts,Gives the relationship between sample location types and their respective sampling contexts.,4,sample_location_type_sampling_context_id,"sample_location_type_id,sampling_context_id","tbl_sample_group_sampling_contexts,tbl_sample_location_types"
tbl_sample_location_types,Categorizes the different types of sample locations used within the system.,4,sample_location_type_id,,
tbl_sample_locations,Contains information about the locations of samples based on predefined types.,5,sample_location_id,"physical_sample_id,sample_location_type_id","tbl_physical_samples,tbl_sample_location_types"
tbl_sample_notes,"Contains miscellaneous notes related to samples that do not belong in other tables, such as 'stored in a cellar until processing in 2020'.",5,sample_note_id,physical_sample_id,tbl_physical_samples
tbl_sample_types,"Defines the physical form or category of a sample. This can include specific sub-samples related to the sampling method of a sample group, or general bulk samples. Examples include 'Core Subsample', 'Grab Sample', and 'Bulk (Bag) Sample'.",4,sample_type_id,,
tbl_season_types,Contains different categories of seasons.,4,season_type_id,,
tbl_seasons,Contains information about different seasons and their associated months for categorizing activities.,6,season_id,season_type_id,tbl_season_types
tbl_site_locations,Associates site identifiers with location names.,4,site_location_id,"location_id,site_id","tbl_locations,tbl_sites"
tbl_site_natgridrefs,"Contains site coordinates using various national grid systems, such as the UK Ordnance Survey National Grid and Swedish SWEREF99. Each site may have coordinates in multiple grid systems (e.g., Swedish RT90 and SWEREF99TM).",5,site_natgridref_id,"method_id,site_id","tbl_methods,tbl_sites"
tbl_site_other_records,"Contains information about data related to specific sites that is not currently stored in SEAD. Each record corresponds to a distinct proxy type, even if multiple proxies are linked to the same publication. Note that some of these datasets might be integrated into SEAD in the future. Requests for data submission can be directed to the SEAD project team.",7,site_other_records_id,"biblio_id,record_type_id,site_id","tbl_biblio,tbl_record_types,tbl_sites"
tbl_site_preservation_status,Contains data on the preservation levels and threats to cultural heritage sites. Each record represents a unique preservation status or threat. This information was added at the request of PAN (Polar Archaeology Network) members to support the evaluation of threats to Arctic cultural heritage.,8,site_preservation_status_id,site_id,tbl_sites
tbl_site_properties,NULL,4,site_property_id,"property_type_id,site_id","tbl_property_types,tbl_sites"
tbl_site_references,"Catalogs publications that describe or mention sites. Publications related to specific sample groups, physical samples, or datasets are documented at their respective hierarchical levels.",4,site_reference_id,"biblio_id,site_id","tbl_biblio,tbl_sites"
tbl_site_site_types,NULL,6,site_site_type_id,"site_id,site_type_id","tbl_site_types,tbl_sites"
tbl_site_type_groups,NULL,6,site_type_group_id,,
tbl_site_types,NULL,5,site_type_id,site_type_group_id,tbl_site_type_groups
tbl_sites,Records detailed information about each excavation or sampling location i.e. a defined location where samples have been collected through excavation.,11,site_id,site_preservation_status_id,tbl_site_preservation_status
tbl_species_association_types,"Defines the permissible types of associations between species, such as 'predates on', 'is predated by', 'parasitic on', and 'parasitized by'.",4,association_type_id,,
tbl_species_associations,"Represents the relationships between different taxa, including interactions such as predation, parasitism, shared habitats, and synonym links. The directionality of the association (e.g., 'x preys on y') is crucial.",8,species_association_id,"association_type_id,biblio_id,taxon_id,taxon_id","tbl_biblio,tbl_species_association_types,tbl_taxa_tree_master"
tbl_taxa_common_names,"Stores vernacular or common names of organisms, such as 'bluebottle'.",5,taxon_common_name_id,"language_id,taxon_id","tbl_languages,tbl_taxa_tree_master"
tbl_taxa_measured_attributes,"Contains measurements related to the size of organisms, such as maximum length.",7,measured_attribute_id,taxon_id,tbl_taxa_tree_master
tbl_taxa_reference_specimens,Contains information on reference and type specimens used for the primary description of species.,5,taxa_reference_specimen_id,"contact_id,taxon_id","tbl_contacts,tbl_taxa_tree_master"
tbl_taxa_seasonality,"Contains information about the specific parts of the year (e.g., Winter, June) during which certain activities or developmental stages of taxa occur (e.g., adult stage from June to August).",6,seasonality_id,"activity_type_id,location_id,season_id,taxon_id","tbl_activity_types,tbl_locations,tbl_seasons,tbl_taxa_tree_master"
tbl_taxa_synonyms,"Contains alternative scientific names for taxa, along with primary references for their definition or usage.",11,synonym_id,"author_id,biblio_id,family_id,genus_id,taxon_id","tbl_biblio,tbl_taxa_tree_authors,tbl_taxa_tree_families,tbl_taxa_tree_genera,tbl_taxa_tree_master"
tbl_taxa_tree_authors,Specifies authoritative information for species names or synonyms.,3,author_id,,
tbl_taxa_tree_families,Specifies information about taxonomic families.,4,family_id,order_id,tbl_taxa_tree_orders
tbl_taxa_tree_genera,Contains taxonomic genera information.,4,genus_id,family_id,tbl_taxa_tree_families
tbl_taxa_tree_master,"Represents the finest level of taxonomic classification, typically at the species level. It may also include designations such as 'sp.' for an unspecified single species, 'spp.' for multiple unspecified species, 'grp' for taxonomic groups, or split identifications (e.g., x/y), along with other cases depending on the taxonomic context.",5,taxon_id,"author_id,genus_id","tbl_taxa_tree_authors,tbl_taxa_tree_genera"
tbl_taxa_tree_orders,Represents the taxonomic order level within the taxonomic hierarchy.,5,order_id,record_type_id,tbl_record_types
tbl_taxonomic_order,"Contains taxonomic codes for organizing species within a taxonomic hierarchy or referencing external database systems (e.g., GBIF, Artdatabanken).",5,taxonomic_order_id,"taxon_id,taxonomic_order_system_id","tbl_taxa_tree_master,tbl_taxonomic_order_systems"
tbl_taxonomic_order_biblio,Contains bibliographic references related to the taxonomic ordering or numbering systems. Multiple references may be associated.,4,taxonomic_order_biblio_id,"biblio_id,taxonomic_order_system_id","tbl_biblio,tbl_taxonomic_order_systems"
tbl_taxonomic_order_systems,"Contains different taxonomic order systems, which provide unique and name-independent identifiers for taxa. It facilitates mapping across various systems, enhancing interoperability between databases.",5,taxonomic_order_system_id,,
tbl_taxonomy_notes,"Contains general notes on taxa, primarily regarding identification issues (e.g., potential confusion with similar taxa), and may include references and image links.",6,taxonomy_notes_id,"biblio_id,taxon_id","tbl_biblio,tbl_taxa_tree_master"
tbl_temperatures,"Contains temperature-related data with historical context, particularly focusing on isotopic measurements and their corresponding age.",3,record_id,,
tbl_tephra_dates,"Records tephrachronology-based sample dates, including associated uncertainties and additional notes.",6,tephra_date_id,"analysis_entity_id,dating_uncertainty_id,tephra_id","tbl_analysis_entities,tbl_dating_uncertainty,tbl_tephras"
tbl_tephra_refs,Contains bibliographic information related to the identification and description of tephra layers (volcanic ash deposits).,4,tephra_ref_id,"biblio_id,tephra_id","tbl_biblio,tbl_tephras"
tbl_tephras,"Details of volcanic tephra layers, including their age estimates (e.g., Hekla 1984).",11,tephra_id,,
tbl_text_biology,"Contains ecological, habitat, and behavioral information for various taxa, along with references to their sources, such as 'in hollows on old oaks.'",6,biology_id,"biblio_id,taxon_id","tbl_biblio,tbl_taxa_tree_master"
tbl_text_distribution,"Contains descriptive distribution information for taxa, along with references to the source publications. For example, 'Scandinavia north of Tromsø, British Isles - rare.'",6,distribution_id,"biblio_id,taxon_id","tbl_biblio,tbl_taxa_tree_master"
tbl_text_identification_keys,Stores identification key extracts along with their bibliographic sources.,6,key_id,"biblio_id,taxon_id","tbl_biblio,tbl_taxa_tree_master"
tbl_units,"Specifies definitions of measurement units (e.g., mm for millimeters).",5,unit_id,,
tbl_updates_log,NULL,3,updates_log_id,,
tbl_value_classes,NULL,7,value_class_id,"method_id,parent_id,value_type_id","tbl_methods,tbl_value_classes,tbl_value_types"
tbl_value_qualifier_symbols,NULL,4,qualifier_symbol_id,cardinal_qualifier_id,tbl_value_qualifiers
tbl_value_qualifiers,NULL,4,qualifier_id,,
tbl_value_type_items,NULL,4,value_type_item_id,value_type_id,tbl_value_types
tbl_value_types,NULL,8,value_type_id,"data_type_id,unit_id","tbl_data_types,tbl_units"
tbl_years_types,NULL,4,years_type_id,,
