table_name,column_name,ordinal_position,data_type,numeric_precision,numeric_scale,character_maximum_length,is_nullable,is_pk,is_fk,fk_table_name,fk_column_name,description
tbl_activity_types,activity_type,2,character varying,NULL,NULL,50,YES,NO,NO,NULL,NULL,Name showing the type of activity or life stage.
tbl_activity_types,description,3,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"Detailed description of the organism's state during the specified time, such as 'adult' or 'flowering'."
tbl_activity_types,date_updated,4,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_age_types,age_type_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_age_types,age_type,2,character varying,NULL,NULL,150,NO,NO,NO,NULL,NULL,"Abbreviation representing the chronological system (e.g., AD, BC, BP)."
tbl_age_types,description,3,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Detailed explanation of the chronological system denoted by the abbreviation.
tbl_age_types,date_updated,4,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_alt_ref_types,alt_ref_type_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_alt_ref_types,alt_ref_type,2,character varying,NULL,NULL,50,NO,NO,NO,NULL,NULL,The name or type of the alternative reference assigned to a sample.
tbl_alt_ref_types,date_updated,3,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_alt_ref_types,description,4,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"A detailed description of the alternative reference type, providing additional context or clarification."
tbl_analysis_boolean_values,analysis_boolean_value_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_boolean_values,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_boolean_values,qualifier,3,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Additional information qualifying the value.
tbl_analysis_boolean_values,value,4,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"The boolean value (e.g., true/false or 1/0)."
tbl_analysis_categorical_values,analysis_categorical_value_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_categorical_values,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_categorical_values,value_type_item_id,3,integer,32,0,NULL,NO,NO,YES,tbl_value_type_items,value_type_item_id,References the predefined category type.
tbl_analysis_categorical_values,value,4,numeric,20,10,NULL,YES,NO,NO,NULL,NULL,The categorical value assigned to the analysis.
tbl_analysis_categorical_values,is_variant,5,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if value is an alternative interpretation of analysed value.
tbl_analysis_dating_ranges,analysis_dating_range_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_dating_ranges,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_dating_ranges,low_value,3,integer,32,0,NULL,YES,NO,NO,NULL,NULL,The lower value of the range.
tbl_analysis_dating_ranges,high_value,4,integer,32,0,NULL,YES,NO,NO,NULL,NULL,The higher value of the range.
tbl_analysis_dating_ranges,low_is_uncertain,5,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if lower value is uncertain (e.g. question mark).
tbl_analysis_dating_ranges,high_is_uncertain,6,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if higher value is uncertain (e.g. question mark).
tbl_analysis_dating_ranges,low_qualifier,7,text,NULL,NULL,NULL,YES,NO,YES,tbl_value_qualifier_symbols,symbol,Additional information qualifying the lower value.
tbl_analysis_dating_ranges,high_qualifier,8,text,NULL,NULL,NULL,YES,NO,YES,tbl_value_qualifier_symbols,symbol,Additional information qualifying the higher value.
tbl_analysis_dating_ranges,age_type_id,9,integer,32,0,NULL,NO,NO,YES,tbl_age_types,age_type_id,"Specifies the chronological system (e.g., AD, BC, BP)."
tbl_analysis_dating_ranges,season_id,10,integer,32,0,NULL,YES,NO,YES,tbl_seasons,season_id,Limits the dating range to a particular season.
tbl_analysis_dating_ranges,dating_uncertainty_id,11,integer,32,0,NULL,YES,NO,YES,tbl_dating_uncertainty,dating_uncertainty_id,Specifies the uncertainty category related to the dating method used.
tbl_analysis_dating_ranges,is_variant,12,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if value is an alternative interpretation of analysed value.
tbl_analysis_entities,analysis_entity_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_entities,physical_sample_id,2,integer,32,0,NULL,YES,NO,YES,tbl_physical_samples,physical_sample_id,Identifies the specific physical sample.
tbl_analysis_entities,dataset_id,3,integer,32,0,NULL,YES,NO,YES,tbl_datasets,dataset_id,Specifies the dataset the analysis entity belongs to.
tbl_analysis_entities,date_updated,4,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_analysis_entity_ages,analysis_entity_age_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_entity_ages,age,2,numeric,20,5,NULL,YES,NO,NO,NULL,NULL,Represents the estimated age derived from analysis.
tbl_analysis_entity_ages,age_older,3,numeric,20,5,NULL,YES,NO,NO,NULL,NULL,The upper bound of the age range estimate.
tbl_analysis_entity_ages,age_younger,4,numeric,20,5,NULL,YES,NO,NO,NULL,NULL,The lower bound of the age range estimate.
tbl_analysis_entity_ages,analysis_entity_id,5,bigint,64,0,NULL,YES,NO,YES,tbl_analysis_entities,analysis_entity_id,Identifies the specific analysis entity associated with this record.
tbl_analysis_entity_ages,chronology_id,6,integer,32,0,NULL,YES,NO,YES,tbl_chronologies,chronology_id,Specifies the the identifier of a specific chronology.
tbl_analysis_entity_ages,date_updated,7,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_analysis_entity_ages,dating_specifier,8,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Specifies the method or criteria used for dating the sample.
tbl_analysis_entity_ages,age_range,9,int4range,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,The range as a tyed (int4range) value.
tbl_analysis_entity_dimensions,analysis_entity_dimension_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_entity_dimensions,analysis_entity_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_entities,analysis_entity_id,Identifies the specific analysis entity associated with this record.
tbl_analysis_entity_dimensions,dimension_id,3,integer,32,0,NULL,NO,NO,YES,tbl_dimensions,dimension_id,"Specifies the specific dimension being measured  (e.g., length, width, height).."
tbl_analysis_entity_dimensions,dimension_value,4,numeric,NULL,NULL,NULL,NO,NO,NO,NULL,NULL,The quantified value of the measured dimension.
tbl_analysis_entity_dimensions,date_updated,5,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_analysis_entity_prep_methods,analysis_entity_prep_method_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_entity_prep_methods,analysis_entity_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_entities,analysis_entity_id,Identifies the specific analysis entity associated with this record.
tbl_analysis_entity_prep_methods,method_id,3,integer,32,0,NULL,NO,NO,YES,tbl_methods,method_id,Specifies the preparation method related to the analysis entity.
tbl_analysis_entity_prep_methods,date_updated,4,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_analysis_identifiers,analysis_identifier_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_identifiers,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_identifiers,value,3,text,NULL,NULL,NULL,NO,NO,NO,NULL,NULL,The identifier value.
tbl_analysis_integer_ranges,analysis_integer_range_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_integer_ranges,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_integer_ranges,low_value,3,integer,32,0,NULL,YES,NO,NO,NULL,NULL,The lower value of the analysis.
tbl_analysis_integer_ranges,high_value,4,integer,32,0,NULL,YES,NO,NO,NULL,NULL,The higher value of the analysis.
tbl_analysis_integer_ranges,low_is_uncertain,5,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if lower value is uncertain (e.g. question mark).
tbl_analysis_integer_ranges,high_is_uncertain,6,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if higher value is uncertain (e.g. question mark).
tbl_analysis_integer_ranges,low_qualifier,7,text,NULL,NULL,NULL,YES,NO,YES,tbl_value_qualifier_symbols,symbol,Additional information qualifying the lower value.
tbl_analysis_integer_ranges,high_qualifier,8,text,NULL,NULL,NULL,YES,NO,YES,tbl_value_qualifier_symbols,symbol,Additional information qualifying the higher value.
tbl_analysis_integer_ranges,is_variant,9,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if value is an alternative interpretation of analysed value.
tbl_analysis_integer_values,analysis_integer_value_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_integer_values,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_integer_values,qualifier,3,text,NULL,NULL,NULL,YES,NO,YES,tbl_value_qualifier_symbols,symbol,Additional information qualifying the value.
tbl_analysis_integer_values,value,4,integer,32,0,NULL,YES,NO,NO,NULL,NULL,The analysed value interpretated as an integer value.
tbl_analysis_integer_values,is_variant,5,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if value is an alternative interpretation of analysed value.
tbl_analysis_notes,analysis_note_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_notes,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_notes,value,3,text,NULL,NULL,NULL,NO,NO,NO,NULL,NULL,The actal note.
tbl_analysis_numerical_ranges,analysis_numerical_range_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_numerical_ranges,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_numerical_ranges,value,3,numrange,NULL,NULL,NULL,NO,NO,NO,NULL,NULL,The analysed value interpretated as a numerical (decimal) range.
tbl_analysis_numerical_ranges,low_is_uncertain,4,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if lower value is uncertain (e.g. question mark).
tbl_analysis_numerical_ranges,high_is_uncertain,5,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if higher value is uncertain (e.g. question mark).
tbl_analysis_numerical_ranges,low_qualifier,6,text,NULL,NULL,NULL,YES,NO,YES,tbl_value_qualifier_symbols,symbol,Additional information qualifying the lower value.
tbl_analysis_numerical_ranges,high_qualifier,7,text,NULL,NULL,NULL,YES,NO,YES,tbl_value_qualifier_symbols,symbol,Additional information qualifying the higher value.
tbl_analysis_numerical_ranges,is_variant,8,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if value is an alternative interpretation of analysed value.
tbl_analysis_numerical_values,analysis_numerical_value_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_numerical_values,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_numerical_values,qualifier,3,text,NULL,NULL,NULL,YES,NO,YES,tbl_value_qualifier_symbols,symbol,Additional information qualifying the value.
tbl_analysis_numerical_values,value,4,numeric,20,10,NULL,YES,NO,NO,NULL,NULL,The analysed value interpretated as a numerical (decimal) value.
tbl_analysis_numerical_values,is_variant,5,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if value is an alternative interpretation of analysed value.
tbl_analysis_taxon_counts,analysis_taxon_count_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_taxon_counts,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_taxon_counts,taxon_id,3,integer,32,0,NULL,NO,NO,YES,tbl_taxa_tree_master,taxon_id,Specifies the taxonomic unit related to this record.
tbl_analysis_taxon_counts,value,4,numeric,20,10,NULL,NO,NO,NO,NULL,NULL,The count of specified taxon.
tbl_analysis_value_dimensions,analysis_value_dimension_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_value_dimensions,analysis_value_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_values,analysis_value_id,Identifies the specific analysis value associated with this data.
tbl_analysis_value_dimensions,dimension_id,3,integer,32,0,NULL,NO,NO,YES,tbl_dimensions,dimension_id,"Specifies the specific dimension being measured  (e.g., length, width, height).."
tbl_analysis_value_dimensions,value,4,numeric,20,10,NULL,NO,NO,NO,NULL,NULL,The value of specified dimension.
tbl_analysis_values,analysis_value_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_analysis_values,value_class_id,2,integer,32,0,NULL,NO,NO,YES,tbl_value_classes,value_class_id,Reference to associated value class that specifies kind of analysis value.
tbl_analysis_values,analysis_entity_id,3,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_entities,analysis_entity_id,Identifies the specific analysis entity associated with this record.
tbl_analysis_values,analysis_value,4,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,The resulting value from the analysis (untyped as a string)
tbl_analysis_values,boolean_value,5,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Boolean (true/false) interpretation of the value (is is_boolean is true).
tbl_analysis_values,is_boolean,6,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if value is a boolean value.
tbl_analysis_values,is_uncertain,7,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if resulting value of analysis is uncertain.
tbl_analysis_values,is_undefined,8,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if resulting value is undefined.
tbl_analysis_values,is_not_analyzed,9,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates that no analysis was made.
tbl_analysis_values,is_indeterminable,10,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if result of analysis is indeterminable.
tbl_analysis_values,is_anomaly,11,boolean,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Indicates if value is an anomaly i.e. not complying to expected value class.
tbl_biblio,biblio_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_biblio,bugs_reference,6,character varying,NULL,NULL,60,YES,NO,NO,NULL,NULL,Identifier linking this entry to the BugsCEP database or other related datasets.
tbl_biblio,date_updated,9,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_biblio,doi,10,character varying,NULL,NULL,255,YES,NO,NO,NULL,NULL,"Digital Object Identifier providing a stable, unique reference for digital content."
tbl_biblio,isbn,12,character varying,NULL,NULL,128,YES,NO,NO,NULL,NULL,International Standard Book Number (ISBN) for cataloging and tracking books.
tbl_biblio,notes,14,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Additional anlabels or comments related to the bibliographic entry.
tbl_biblio,title,20,character varying,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Title of the referenced work.
tbl_biblio,year,22,character varying,NULL,NULL,255,YES,NO,NO,NULL,NULL,Year the referenced work was published.
tbl_biblio,authors,23,character varying,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"Formatted list of authors for the bibliographic entry, adhering to citation standards."
tbl_biblio,full_reference,24,text,NULL,NULL,NULL,NO,NO,NO,NULL,NULL,"Complete citation including all necessary details such as author, title, publication date, and publisher."
tbl_biblio,url,25,character varying,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"Online link to the bibliographic resource, if available."
tbl_biblio,biblio_uuid,26,uuid,NULL,NULL,NULL,NO,NO,NO,NULL,NULL,NULL
tbl_chronologies,chronology_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_chronologies,age_model,2,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,The methodology or model applied to determine the ages of samples within this chronology.
tbl_chronologies,relative_age_type_id,3,integer,32,0,NULL,YES,NO,NO,NULL,NULL,"This was previously constrained by the obsolete tbl_age_types table. Now, it serves as a non-binding reference to relative_age_types, although not fully implemented. Relevant notes should document year types and construction methods for the chronology."
tbl_chronologies,chronology_name,4,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"A descriptive title for the chronology, indicating its purpose and extent."
tbl_chronologies,contact_id,5,integer,32,0,NULL,YES,NO,YES,tbl_contacts,contact_id,Identifies the contact person or organization for the chronology.
tbl_chronologies,date_prepared,6,timestamp without time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,The date the chronology was initially created or most recently updated.
tbl_chronologies,date_updated,7,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_chronologies,notes,8,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"Supplementary information or anlabels related to the chronology, including data sources, assumptions, or constraints."
tbl_colours,colour_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_colours,colour_name,2,character varying,NULL,NULL,30,NO,NO,NO,NULL,NULL,Descriptive name of the colour.
tbl_colours,date_updated,3,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_colours,method_id,4,integer,32,0,NULL,NO,NO,YES,tbl_methods,method_id,Specifies the method or colour space used for classification.
tbl_colours,rgb,5,integer,32,0,NULL,YES,NO,NO,NULL,NULL,RGB value representing the colour in the RGB colour model.
tbl_contact_types,contact_type_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_contact_types,contact_type_name,2,character varying,NULL,NULL,150,NO,NO,NO,NULL,NULL,"Name of the contact type, representing the role or function (e.g., researcher, laboratory, field technician)."
tbl_contact_types,date_updated,3,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_contact_types,description,4,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"Comprehensive description of the contact type, detailing its role within the system."
tbl_contacts,contact_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_contacts,address_1,2,character varying,NULL,NULL,255,YES,NO,NO,NULL,NULL,"Primary address, such as a street or institutional address."
tbl_contacts,address_2,3,character varying,NULL,NULL,255,YES,NO,NO,NULL,NULL,"Supplementary address information, such as an apartment or suite number."
tbl_contacts,location_id,4,integer,32,0,NULL,YES,NO,NO,NULL,NULL,"Specifies to a location, associating the contact with a specific geographic or organizational location."
tbl_contacts,email,5,character varying,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Email address for contact communication.
tbl_contacts,first_name,6,character varying,NULL,NULL,50,YES,NO,NO,NULL,NULL,Given name of the contact.
tbl_contacts,last_name,7,character varying,NULL,NULL,100,YES,NO,NO,NULL,NULL,Surname of the contact.
tbl_contacts,phone_number,8,character varying,NULL,NULL,50,YES,NO,NO,NULL,NULL,Contact's phone number for direct communication.
tbl_contacts,url,9,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Associated website or online profile link.
tbl_contacts,date_updated,10,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_coordinate_method_dimensions,coordinate_method_dimension_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_coordinate_method_dimensions,dimension_id,2,integer,32,0,NULL,NO,NO,YES,tbl_dimensions,dimension_id,"Specifies the specific dimension being measured  (e.g., length, width, height).."
tbl_coordinate_method_dimensions,method_id,3,integer,32,0,NULL,NO,NO,YES,tbl_methods,method_id,Specifies the coordinate system method to which the dimension applies.
tbl_coordinate_method_dimensions,limit_upper,4,numeric,18,10,NULL,YES,NO,NO,NULL,NULL,"Specifies the upper bound of the legal value range for the dimension, if applicable."
tbl_coordinate_method_dimensions,limit_lower,5,numeric,18,10,NULL,YES,NO,NO,NULL,NULL,"Specifies the lower bound of the legal value range for the dimension, if applicable."
tbl_coordinate_method_dimensions,date_updated,6,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_data_type_groups,data_type_group_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_data_type_groups,data_type_group_name,2,character varying,NULL,NULL,25,YES,NO,NO,NULL,NULL,Name of the data type group.
tbl_data_type_groups,date_updated,3,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_data_type_groups,description,4,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,Detailed information about the data type group.
tbl_data_types,data_type_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_data_types,data_type_group_id,2,integer,32,0,NULL,NO,NO,YES,tbl_data_type_groups,data_type_group_id,Specifies the group to which this data type belongs.
tbl_data_types,data_type_name,3,character varying,NULL,NULL,25,YES,NO,NO,NULL,NULL,"The name of the data type, providing a descriptive label."
tbl_data_types,date_updated,4,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_data_types,definition,5,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,A detailed explanation or description of the data type.
tbl_dataset_contacts,dataset_contact_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_dataset_contacts,contact_id,2,integer,32,0,NULL,NO,NO,YES,tbl_contacts,contact_id,Identifies the contact person or organization related to the dataset.
tbl_dataset_contacts,contact_type_id,3,integer,32,0,NULL,NO,NO,YES,tbl_contact_types,contact_type_id,"Specifies the type of contact, such as provider or digitaliser."
tbl_dataset_contacts,dataset_id,4,integer,32,0,NULL,NO,NO,YES,tbl_datasets,dataset_id,Specifies the dataset the contact is related to.
tbl_dataset_contacts,date_updated,5,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_dataset_masters,master_set_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_dataset_masters,contact_id,2,integer,32,0,NULL,YES,NO,YES,tbl_contacts,contact_id,Identifies the contact person or organization responsible for the master dataset.
tbl_dataset_masters,biblio_id,3,integer,32,0,NULL,YES,NO,YES,tbl_biblio,biblio_id,"Specifies the primary literature or reference related to the master dataset (e.g., Buckland & Buckland 2006 for BugsCEP)."
tbl_dataset_masters,master_name,4,character varying,NULL,NULL,100,YES,NO,NO,NULL,NULL,"Name or title assigned to the master dataset (e.g., MAL, BugsCEP, DendroLab)."
tbl_dataset_masters,master_notes,5,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"Detailed description of the master dataset, including its nature (e.g., database, lab) and any pertinent tracking information."
tbl_dataset_masters,url,6,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"Web address or URL related to the master dataset, which could be a project, lab, or other entity."
tbl_dataset_masters,date_updated,7,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
