101,FNoPh,2017-08-14 11:59:00.374+02,plant materials.,4,phytophagous,,0
102,FNoPl,2017-08-14 11:59:00.374+02,on phloem wood,4,phloeophagous,,0
103,FNoPn,2017-08-14 11:59:00.374+02,eats pollen.,4,pollenophagous,,0
104,FNoPy,2017-08-14 11:59:00.374+02,on leaves.,4,phyllophagous,,0
105,FNoRh,2017-08-14 11:59:00.374+02,on roots.,4,rhizophagous,,0
106,FNoSa,2017-08-14 11:59:00.39+02,in rotting materials.,4,saprophagous,,0
107,FNoSp,2017-08-14 11:59:00.39+02,on spores.,4,sporophagous,,0
108,FNoXy,2017-08-14 11:59:00.39+02,in wood.,4,xylophagous,,0
109,FNoZo,2017-08-14 11:59:00.39+02,animal materials.,4,zoophagous,,0
110,HRaEh,2017-08-14 11:59:00.39+02,tolerates a wide range of temperatures.,5,eurythermal,,0
111,HRaEm,2017-08-14 11:59:00.39+02,tolerates a wide range of moisture conditions.,5,euryhygric,,0
112,HRaEu,2017-08-14 11:59:00.39+02,in many varied biotopes.,5,eurytopic,,0
113,HRaSf,2017-08-14 11:59:00.39+02,"synanthropic, but not restrictedly so.",5,Facultative Sy,,0
114,HRaSh,2017-08-14 11:59:00.39+02,only in a narrow temperature range.,5,stenothermic,,0
115,HRaSm,2017-08-14 11:59:00.39+02,only in a narrow moisture range.,5,stenohygric,,0
116,HRaSn,2017-08-14 11:59:00.39+02,"typical, but non-obligate synanthrope.",5,Typically Sy,,0
117,HRaSs,2017-08-14 11:59:00.39+02,"strongly, often obligate synanthrope.",5,Strong Sy,,0
118,HRaSt,2017-08-14 11:59:00.39+02,only in the specified biotope.,5,stenotopic,,0
119,HRaSy,2017-08-14 11:59:00.405+02,living in close association with Man.,5,synanthropic,,0
120,HRaUb,2017-08-14 11:59:00.405+02,occurs everywhere.,5,ubiquitous,,0
121,HTyac,2017-08-14 11:59:00.405+02,prefers acid conditions.,6,acidophilous,,0
122,HTyam,2017-08-14 11:59:00.405+02,attracted to amyls in wood,6,amylophilous,,0
123,HTyap,2017-08-14 11:59:00.405+02,associated with bees & wasps,6,apoidephilous,,0
124,HTych,2017-08-14 11:59:00.405+02,attracted by colour.,6,chromophilous,,0
125,HTyco,2017-08-14 11:59:00.405+02,dung.,6,coprophilous,,0
126,HTyha,2017-08-14 11:59:00.405+02,salty environments.,6,halophilous,,0
127,HTyhe,2017-08-14 11:59:00.405+02,prefers light.,6,heliophilous,,0
128,HTyhl,2017-08-14 11:59:00.405+02,wood.,6,xylophilous,,0
129,HTyht,2017-08-14 11:59:00.405+02,tolerant of saline habitats,6,halotolerant,,0
130,HTyhy,2017-08-14 11:59:00.405+02,prefers moisture.,6,hygrophilous,,0
131,HTykr,2017-08-14 11:59:00.405+02,water sources.,6,krenophilous,,0
132,HTymm,2017-08-14 11:59:00.405+02,associated with ants.,6,myrmecophilous,,0
133,HTymy,2017-08-14 11:59:00.421+02,fungi.,6,mycetophilous,,0
134,HTyne,2017-08-14 11:59:00.421+02,associated with carrion.,6,necrophilous,,0
135,HTyos,2017-08-14 11:59:00.421+02,smell.,6,osmophilous,,0
136,HType,2017-08-14 11:59:00.421+02,among stones.,6,petrophilous,,0
137,HTyph,2017-08-14 11:59:00.421+02,prefers shade.,6,pholeophilous,,0
138,HTyps,2017-08-14 11:59:00.421+02,sand.,6,psammophilous,,0
139,HTyrh,2017-08-14 11:59:00.421+02,associated with flowing water.,6,rheophilous,,0
140,HTyro,2017-08-14 11:59:00.421+02,associated with rodents,6,rodentophilous,,0
141,HTysa,2017-08-14 11:59:00.421+02,in rotting materials.,6,saprophilous,,0
142,HTysi,2017-08-14 11:59:00.421+02,on gravel.,6,silicophilous,,0
143,HTyth,2017-08-14 11:59:00.421+02,prefers warm conditions.,6,thermophilous,,0
144,HTyti,2017-08-14 11:59:00.421+02,contiguous.,6,tixophilous,,0
145,HTytr,2017-08-14 11:59:00.421+02,in caves.,6,trogophilous,,0
146,HTyty,2017-08-14 11:59:00.437+02,in bogs.,6,tyrphophilous,,0
147,HTyxe,2017-08-14 11:59:00.437+02,prefers dry  places.,6,xerophilous,,0
1,BEco01,2017-08-14 11:58:52.4+02,Aquatics,7,Aquatics,"Living in/on water, in any form. From temporary pools to lakes and rivers.",0
2,BEco01a,2017-08-14 11:58:52.416+02,Standing water (ponds) indicators,7,Indicators: Standing water,"Primary habitat in/on pools, ponds, slow flowing water – including temporary ponds, but avoiding species specifically in vegetation and mud or banks of ponds.",0
3,BEco01b,2017-08-14 11:58:52.416+02,Running water (rivers/streams) indicators,7,Indicators: Running water,Rivers and/or streams. Species predominantly found in these.,0
4,BEco02,2017-08-14 11:58:52.416+02,Pasture/Dung,7,Pasture/Dung,"Grazed land of varying form. Includes most dung beetles, including those that are not stenotopic to dung. Mostly open landscape, but may include pasture-woodland when in combination with BEco4.",0
5,BEco03,2017-08-14 11:58:52.416+02,Meadowland,7,Meadowland,Natural grassland or near equivalents. Open landscape.,0
6,BEco04,2017-08-14 11:58:52.416+02,Wood and trees,7,Wood and trees,"Species tied to either the actual wood, trees or the forest/woodland environment. Generally shade tolerant.",0
7,BEco04a,2017-08-14 11:58:52.432+02,Deciduous Wood and tree indicators,7,Indicators: Deciduous,"Specifically deciduous wood or woodland, species not found on coniferous wood except on rare occasions.",0
8,BEco04b,2017-08-14 11:58:52.432+02,Coniferous Wood and tree indicators,7,Indicators: Coniferous,"Specifically coniferous wood or woodland, species not found on deciduous wood except on rare occasions.",0
9,BEco05a,2017-08-14 11:58:52.432+02,Wetlands/marshes,7,Wetlands/marshes,"Water tolerant but not living specifically in the water. May include mud and bank species, as well as those moss & reed dwellers that prefer permanently wet environments.",0
10,BEco05b,2017-08-14 11:58:52.432+02,"Open wet habitats, shingle, etc",7,Open wet habitats,"Hydrophilous shade intolerant species, shingle, beaches etc. and other exposed wet environments.",0
11,BEco06a,2017-08-14 11:58:52.432+02,Disturbed ground/arable,7,Disturbed/arable,"Any disturbed ground surface, be it by animal, geological or human action. Includes ploughed fields, edges of watering holes, farm yards, glacial margins etc.",0
12,BEco06b,2017-08-14 11:58:52.432+02,Sandy/dry disturbed ground/arable,7,Sandy/dry disturbed/arable,"Similar to the above, but more xerophilous species. Typifies beach, dune and aeolian landscapes, or ploughed fields on more sandy soils. A more dominant environment in southern Europe than BEco6a.",0
13,BEco07a,2017-08-14 11:58:52.432+02,Dung/foul decaying habitats,7,Dung/foul habitats,"A wide category for species that live in decaying, muddy and fetid environments, including compost, wet hay, dung and muddy edges of water.",0
14,BEco07b,2017-08-14 11:58:52.432+02,Carrion,7,Carrion,"Animal carcasses of all forms, dry or wet.",0
15,BEco07c,2017-08-14 11:58:52.432+02,Dung indicators,7,Indicators: Dung,"Primary habitat dung, or dung essential for reproduction. Includes parasites of other species that live in dung. Majority of species not found in other environments represented by the broader class BEco7a, but some may be found on occasions outside of dung.",0
16,BEco08,2017-08-14 11:58:52.432+02,Mould beetles of all types.,7,Mould beetles,Large part of the typical indoor synanthropic fauna in northern Europe.,0
17,BEco09a,2017-08-14 11:58:52.432+02,General synanthropic,7,General synanthropic,"In association with humans, either when outside of their ‘natural’ geographical range, or in all known records. This term may be geographically specific, and is used in a north European context here.",0
18,BEco09b,2017-08-14 11:58:52.432+02,Stored grain pest,7,Stored grain pest,Pests of stored products.,0
19,BEco10,2017-08-14 11:58:52.432+02,Dry dead wood,7,Dry dead wood,"Wood in constructions, but also similar natural environments such as large fallen trees, especially in warmer climates.",0
20,BEco12,2017-08-14 11:58:52.432+02,Heathland and moorland,7,Heathland & moorland,"Heathland and moorland, but may also indicate the under-storey of a Boreal forest.",0
21,BEco13,2017-08-14 11:58:52.432+02,Halotolerant (all salts),7,Halotolerant,"Salt tolerant, often coastal or salt marsh tied, but not just NaCl – can be species found on mineral rich ploughed soils or where mineral precipitation is prominent.",0
22,Ecto,2017-08-14 11:58:52.447+02,Ectoparasites,7,Ectoparasite,External parasites of humans and animals,0
