identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
Ballybean Bog|COUN001306|S12,,,,1,10000,0
Ballybean Bog|COUN001306|S14,,,,1,10000,0
Ballybean Bog|COUN001306|S16,,,,1,10000,0
Ballybean Bog|COUN001306|S18,,,,1,10000,0
Ballybean Bog|COUN001306|S2,,,,1,10000,0
Ballybean Bog|COUN001306|S20,,,,1,10000,0
Ballybean Bog|COUN001306|S4,,,,1,10000,0
Ballybean Bog|COUN001306|S6,,,,1,10000,0
Ballybean Bog|COUN001306|S8,,,,1,10000,0
Ballybean Bog|COUN001307|S1,,,,1,10000,0
Ballybean Bog|COUN001307|S11,,,,1,10000,0
Ballybean Bog|COUN001307|S13,,,,1,10000,0
Ballybean Bog|COUN001307|S15,,,,1,10000,0
Ballybean Bog|COUN001307|S17,,,,1,10000,0
Ballybean Bog|COUN001307|S19,,,,1,10000,0
Ballybean Bog|COUN001307|S21,,,,1,10000,0
Ballybean Bog|COUN001307|S23,,,,1,10000,0
Ballybean Bog|COUN001307|S3,,,,1,10000,0
Ballybean Bog|COUN001307|S5,,,,1,10000,0
Ballybean Bog|COUN001307|S7,,,,1,10000,0
Ballybean Bog|COUN001307|S9,,,,1,10000,0
Ballybean Bog|COUN001308|S1,,,,1,10000,0
Ballybean Bog|COUN001308|S11,,,,1,10000,0
Ballybean Bog|COUN001308|S13,,,,1,10000,0
Ballybean Bog|COUN001308|S15,,,,1,10000,0
Ballybean Bog|COUN001308|S17,,,,1,10000,0
Ballybean Bog|COUN001308|S19,,,,1,10000,0
Ballybean Bog|COUN001308|S21,,,,1,10000,0
Ballybean Bog|COUN001308|S23,,,,1,10000,0
Ballybean Bog|COUN001308|S3,,,,1,10000,0
Ballybean Bog|COUN001308|S5,,,,1,10000,0
Ballybean Bog|COUN001308|S7,,,,1,10000,0
Ballybean Bog|COUN001308|S9,,,,1,10000,0
Ballybean Bog|COUN001309|C12,,,,1,10000,0
Ballybean Bog|COUN001309|C14,,,,1,10000,0
Ballybean Bog|COUN001309|C16,,,,1,10000,0
Ballybean Bog|COUN001309|C18,,,,1,10000,0
Ballybean Bog|COUN001309|C20,,,,1,10000,0
Ballybean Bog|COUN001309|S10,,,,1,10000,0
Ballybean Bog|COUN001309|S2,,,,1,10000,0
Ballybean Bog|COUN001309|S4,,,,1,10000,0
Ballybean Bog|COUN001309|S6,,,,1,10000,0
Ballybean Bog|COUN001309|S8,,,,1,10000,0
Ballybean Bog|COUN001310|S10,,,,1,10000,0
Ballybean Bog|COUN001310|S12,,,,1,10000,0
Ballybean Bog|COUN001310|S14,,,,1,10000,0
Ballybean Bog|COUN001310|S16,,,,1,10000,0
Ballybean Bog|COUN001310|S18,,,,1,10000,0
Ballybean Bog|COUN001310|S2,,,,1,10000,0
Ballybean Bog|COUN001310|S4,,,,1,10000,0
Ballybean Bog|COUN001310|S6,,,,1,10000,0
Ballybean Bog|COUN001310|S8,,,,1,10000,0
Ballybean Bog|COUN001311|S10,,,,1,10000,0
Ballybean Bog|COUN001311|S12,,,,1,10000,0
Ballybean Bog|COUN001311|S14,,,,1,10000,0
Ballybean Bog|COUN001311|S16,,,,1,10000,0
Ballybean Bog|COUN001311|S2,,,,1,10000,0
Ballybean Bog|COUN001311|S4,,,,1,10000,0
Ballybean Bog|COUN001311|S6,,,,1,10000,0
Ballybean Bog|COUN001311|S8,,,,1,10000,0
Ballybean Bog|COUN001312|S1,,,,1,10000,0
Ballybean Bog|COUN001312|S11,,,,1,10000,0
Ballybean Bog|COUN001312|S13,,,,1,10000,0
Ballybean Bog|COUN001312|S15,,,,1,10000,0
Ballybean Bog|COUN001312|S17,,,,1,10000,0
Ballybean Bog|COUN001312|S19,,,,1,10000,0
Ballybean Bog|COUN001312|S21,,,,1,10000,0
Ballybean Bog|COUN001312|S23,,,,1,10000,0
Ballybean Bog|COUN001312|S3,,,,1,10000,0
Ballybean Bog|COUN001312|S5,,,,1,10000,0
Ballybean Bog|COUN001312|S7,,,,1,10000,0
Ballybean Bog|COUN001312|S9,,,,1,10000,0
Ballybean Bog|COUN001313|S10,,,,1,10000,0
Ballybean Bog|COUN001313|S12,,,,1,10000,0
Ballybean Bog|COUN001313|S14,,,,1,10000,0
Ballybean Bog|COUN001313|S16,,,,1,10000,0
Ballybean Bog|COUN001313|S18,,,,1,10000,0
Ballybean Bog|COUN001313|S2,,,,1,10000,0
Ballybean Bog|COUN001313|S20,,,,1,10000,0
Ballybean Bog|COUN001313|S22,,,,1,10000,0
Ballybean Bog|COUN001313|S24,,,,1,10000,0
Ballybean Bog|COUN001313|S4,,,,1,10000,0
Ballybean Bog|COUN001313|S6,,,,1,10000,0
Ballybean Bog|COUN001313|S8,,,,1,10000,0
Ballybeg Bog|COUN001324|S10,,,,1,10000,0
Ballybeg Bog|COUN001324|S12,,,,1,10000,0
Ballybeg Bog|COUN001324|S14,,,,1,10000,0
Ballybeg Bog|COUN001324|S16,,,,1,10000,0
Ballybeg Bog|COUN001324|S18,,,,1,10000,0
Ballybeg Bog|COUN001324|S2,,,,1,10000,0
Ballybeg Bog|COUN001324|S20,,,,1,10000,0
Ballybeg Bog|COUN001324|S4,,,,1,10000,0
Ballybeg Bog|COUN001324|S6,,,,1,10000,0
Ballybeg Bog|COUN001324|S8,,,,1,10000,0
Ballybeg Bog|COUN001325|S10,,,,1,10000,0
Ballybeg Bog|COUN001325|S12,,,,1,10000,0
Ballybeg Bog|COUN001325|S14,,,,1,10000,0
Ballybeg Bog|COUN001325|S16,,,,1,10000,0
Ballybeg Bog|COUN001325|S18,,,,1,10000,0
Ballybeg Bog|COUN001325|S2,,,,1,10000,0
Ballybeg Bog|COUN001325|S20,,,,1,10000,0
Ballybeg Bog|COUN001325|S4,,,,1,10000,0
Ballybeg Bog|COUN001325|S6,,,,1,10000,0
Ballybeg Bog|COUN001325|S8,,,,1,10000,0
Ballybetagh|COUN000023|S1,1,,,,15138,11329
Ballybetagh|COUN001441|Basal_S1,,,,,,
Ballybetagh|COUN001441|S10,,,,,,
Ballybetagh|COUN001441|S11,,,,,,
Ballybetagh|COUN001441|S12,,,,,,
Ballybetagh|COUN001441|S13,,,,,,
Ballybetagh|COUN001441|S14,,,,,,
Ballybetagh|COUN001441|S15,,,,,,
Ballybetagh|COUN001441|S16,,,,,,
Ballybetagh|COUN001441|S17,,,,,,
Ballybetagh|COUN001441|S2,,,,,,
Ballybetagh|COUN001441|S3,,,,,,
Ballybetagh|COUN001441|S4,,,,,,
Ballybetagh|COUN001441|S5,,,,,,
Ballybetagh|COUN001441|S6,,,,,,
Ballybetagh|COUN001441|S7,,,,,,
Ballybetagh|COUN001441|S8,,,,,,
Ballybetagh|COUN001441|S9,,,,,,
Ballymacombes More|COUN000492|BugsPresence,,,,1,10000,0
Ballywillin|COUN000821|BugsPresence,,,,1,1550,400
Ballywillin|COUN000821|S1,,,,1,1550,400
Ballywillin|COUN000821|S2,,,,1,1550,400
Ballywillin|COUN000821|S3,1,,,,914,709
Ballywillin|COUN000821|S4,,,,1,1550,400
Ballywillin|COUN000821|S5,1,,,,1057,690
Ballywillin|COUN000821|S6,1,,,,1171,929
Ballywillin|COUN000821|S7,1,,,,1380,1281
Ballywillin|COUN000821|S8,,,,1,1550,400
Bara|COUN001274|LG_clay,,,,1,13500,10000
Barling|COUN000027|s0-10,,,,1,337000,"3,00E+05"
Barling|COUN000027|s10-20,,,,1,337000,"3,00E+05"
Barling|COUN000027|s20-30,,,,1,337000,"3,00E+05"
Barling|COUN000027|s30-40,,,,1,337000,"3,00E+05"
Barling|COUN000027|s40-50,,,,1,337000,"3,00E+05"
Barling|COUN000027|s50-60,,,,1,337000,"3,00E+05"
Barling|COUN000027|s60-70,,,,1,337000,"3,00E+05"
Barling|COUN000027|s70-80,,,,1,337000,"3,00E+05"
Barling|COUN000027|s80-90,,,,1,337000,"3,00E+05"
Barmston|COUN000926|S1,1,,,,15224,12550
Barmston|COUN000926|S5,1,,,,15224,12550
Barmston|COUN000926|S6,1,,,,15224,12550
Barmston|COUN000926|S7,1,,,,15224,12550
Barnwell Station|COUN000029|a,1,,,,25185,22284
Barnwell Station|COUN000029|b,1,,,,25185,22284
Barnwell Station|COUN000029|c,1,,,,25185,22284
Barnwell Station|COUN000029|d,1,,,,25185,22284
Barnwell Station|COUN000029|e,1,,,,25185,22284
Barnwell Station|COUN000029|f,1,,,,25185,22284
Barrow-on-Trent|COUN000817|S1,1,,,,13558,13210
Barrow-on-Trent|COUN000817|S2,,,,1,13500,10000
Barrow-on-Trent|COUN000817|S3,,,,1,13500,10000
Barrow-on-Trent|COUN000817|S4,1,,,,13557,13281
Barrow-on-Trent|COUN000817|S5,,,,1,13500,10000
Barrow-on-Trent|COUN000817|S6,1,,,,13565,13276
Barrow-on-Trent|COUN000817|S7,,,,1,13500,10000
Baston Fen|COUN000493|G108,1,,,,34814,31890
Baston Fen|COUN000493|G125,1,,,,34814,31430
Baston Fen|COUN000493|G141,1,,,,36512,31890
Baston Fen|COUN000493|S1,1,,,,34814,31890
Baston Fen|COUN000493|S2,1,,,,34814,31890
Baston Fen|COUN000493|S3,1,,,,34814,31890
Baston Fen|COUN000493|S4,1,,,,34814,31890
Baston Fen|COUN000493|S5,1,,,,34814,31890
Baston Fen|COUN000493|S6,1,,,,34814,31890
Beccles|COUN001596|Tr1_1,,,,1,2599,1900
Beccles|COUN001596|Tr1_2,,,,1,2599,1900
Beccles|COUN001596|Tr1_3,,,,1,2599,1900
Beccles|COUN001596|Tr1_4,,,,1,2599,1900
Beccles|COUN001596|Tr1_5,,,,1,2599,1900
Beccles|COUN001596|Tr1_6,,,,1,2599,1900
Beccles|COUN001596|Tr1_7,,,,1,2599,1900
Beccles|COUN001596|Tr4_2,,,,1,2599,1900
Beccles|COUN001596|Tr4_3,,,,1,2599,1900
Beccles|COUN001596|Tr4_4,,,,1,2599,1900
Beccles|COUN001596|Tr4_5,,,,1,2599,1900
Beccles|COUN001596|Tr4_6,,,,1,2599,1900
Beccles|COUN001596|Trackway,,,1,,2024,2024
Beckford|COUN000038|S1,1,,,,32054,31054
Beckton: Woolwich Manor Way|COUN000937|E,1,,,,3688,3481
Beckton: Woolwich Manor Way|COUN000937|N,1,,,,6271,4185
Bedale|COUN000892|BugsPresence,,,,1,10000,7000
Bedale|COUN000892|S171,1,,,,9016,8729
Bedale|COUN000892|S172,1,,,,9016,8660
Bedale|COUN000892|S173,1,,,,8998,8657
Bedale|COUN000892|S174,,,,1,10000,7000
Bedale|COUN000892|S175,1,,,,9406,9034
Bedale|COUN000892|S176_301,1,,,,10145,9685
Bedale|COUN000892|S176_302,,,,1,10000,7000
Bedale|COUN000892|S176_303,,,,1,10000,7000
Bedale|COUN000892|S176_304,,,,1,10000,7000
Bedale|COUN000892|S38,,,,1,1550,400
Bedale|COUN000892|S67,1,,,,8296,8024
Bedale|COUN000892|S71,1,,,,8447,8201
Beeston|COUN000388|S1,,,,1,478000,243000
Belchatow|COUN001056|B2691A,1,,,,31089,28345
Belchatow|COUN001056|B2691B,1,,,,31089,28345
Belchatow|COUN001056|B2692D,1,,,,31089,28345
Belchatow|COUN001056|B2695G,1,,,,31089,28345
Belchatow|COUN001056|B2695H,1,,,,31089,28345
Belchatow|COUN001056|B2696J,1,,,,31089,28345
Belchatow|COUN001056|B2700,1,,,,31089,28345
Belchatow|COUN001056|B2705,1,,,,31089,28345
Belchatow|COUN001056|B2707,1,,,,31089,28345
Belchatow|COUN001056|B2709,1,,,,31089,28345
Belchatow|COUN001056|B2735,1,,,,31089,28345
Belchatow|COUN001056|B2736,1,,,,31089,28345
Belchatow|COUN001056|B2737,1,,,,31089,28345
Belchatow|COUN001056|B2741,1,,,,31089,28345
Belchatow|COUN001056|B2742,1,,,,27550,27077
Belchatow|COUN001056|B2743,1,,,,33820,32929
Bexley: Crossness|COUN000935|E,,,,1,5449,4049
Bexley: Crossness|COUN000935|L,,,,1,2949,2599
Bexley: Crossness|COUN000935|M,1,,,,6399,5751
Bexley: Crossness|COUN000935|N,,,,1,6449,3649
Bexley: Norman Road|COUN000936|E,1,,,,3689,3253
Bexley: Norman Road|COUN000936|N,1,,,,5036,4161
Bidford on Avon: Pilgrim Lock|COUN000390|S12,1,,,,3327,2789
Bidford on Avon: Pilgrim Lock|COUN000390|S13,,,,1,5000,0
Bidford on Avon: Pilgrim Lock|COUN000390|S14,1,,,,3323,2782
Bidford on Avon: Pilgrim Lock|COUN000390|S15,,,,1,5000,0
Bidford on Avon: Pilgrim Lock|COUN000390|S16,,,,1,5000,0
Bidford on Avon: Pilgrim Lock|COUN000390|S17,1,,,,3446,2882
Bidford on Avon: Pilgrim Lock|COUN000390|S18,,,,1,5000,0
Bidford on Avon|COUN000808|BugsPresence,1,,,,2682,2007
Bielsbeck|COUN000041|S1,,,,1,243000,191000
Bigholm Burn|COUN000043|A,1,,,,14077,13092
Bigholm Burn|COUN000043|B,,,,1,13500,10000
Birka|COUN001059|SI,,,,1,1550,400
Birka|COUN001059|SII,,,,1,1550,400
Birka|COUN001059|SIII,,,,1,1550,400
Birka|COUN001059|SIV,,,,1,1550,400
Birka|COUN001059|SV,,,,1,1550,400
Birka|COUN001059|SVI,,,,1,1550,400
Birmingham: LateGlacial|COUN000598|F2,,,,1,13500,10000
Birmingham: Nechells|COUN000466|IIINa,,,,1,424000,374000
Birmingham: Nechells|COUN000466|IINa,,,,1,428000,302000
Birmingham: Nechells|COUN000466|IINb1,,,,1,428000,302000
Birmingham: Nechells|COUN000466|IINb2,,,,1,428000,302000
Birmingham: Nechells|COUN000466|IINb3,,,,1,428000,302000
Birmingham: Nechells|COUN000466|IINc,,,,1,428000,302000
Birmingham: Nechells|COUN000466|IINd,,,,1,428000,302000
Birmingham: Nechells|COUN000466|IN1,,,,1,428000,302000
Birmingham: Nechells|COUN000466|IN2,,,,1,428000,302000
Birmingham: Nechells|COUN000466|IN3,,,,1,428000,302000
Björkeröds Mosse|COUN000391|A6/1,,,,1,10000,7000
Björkeröds Mosse|COUN000391|A6/10,,,,1,13500,7000
Björkeröds Mosse|COUN000391|A6/11,,,,1,13500,7000
Björkeröds Mosse|COUN000391|A6/12,,,,1,13500,7000
Björkeröds Mosse|COUN000391|A6/13,,,,1,13500,7000
Björkeröds Mosse|COUN000391|A6/14,,,,1,13500,7000
Björkeröds Mosse|COUN000391|A6/15,,,,1,13500,7000
