identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
Hertogenbosch|COUN001580|F77,,,1,,675,650
Alchester: Faccenda Chicken Farm|COUN000596|C215,,,,1,1907,1540
Alphen aan den Rijn|COUN001158|BugsPresence,,,1,,1910,1890
Alvastra|COUN000916|BugsPresence,,,,1,6449,3649
Alvastra|COUN000916|S224,,,,1,6449,3649
Alvastra|COUN000916|S267,,,,1,6449,3649
Alvastra|COUN000916|S306,,,,1,6449,3649
Ambleside|COUN001170|BugsPresence,,,,1,1907,1540
Amiens|COUN000467|BugsPresence,,,1,,1800,1750
Amiens|COUN000467|Charred,,,1,,1800,1750
Amiens|COUN000467|Uncharred,,,1,,1800,1750
Appleford Sidings|COUN001394|C287,,,,1,4449,2549
Appleford Sidings|COUN001394|C288,,,,1,4449,2549
Appleford Sidings|COUN001394|C4015,,,,1,1907,1540
Appleford Sidings|COUN001394|C458,,,,1,4449,2549
Appleford Sidings|COUN001394|C528,,,,1,4449,2549
Appleford Sidings|COUN001394|C529,,,,1,4449,2549
Appleford|COUN000033|F200,,,1,,1700,1550
Appleford|COUN000033|F250L,,,1,,1650,1550
Appleford|COUN000033|F250U,,,1,,1650,1550
Appleford|COUN000033|F32,,,1,,1800,1700
Arras|COUN001521|BugsPresence,,,1,,1949,1900
Assendelver Polder|COUN000034|S119,1,,,,2743,2380
Assendelver Polder|COUN000034|S190,1,,,,2743,2380
Assendelver Polder|COUN000034|S270,1,,,,2743,2380
Assendelver Polder|COUN000034|S291,1,,,,2743,2380
Assendelver Polder|COUN000034|S314,1,,,,2743,2380
Assendelver Polder|COUN000034|S322,1,,,,2743,2380
Assiut|COUN001374|BugsPresence,,,1,,2272,1949
Aston Mill: Roman|COUN000017|S1,,,1,,1800,1750
Asummiut|COUN000018|S1,1,,,,4147,3455
Atlit-Yam|COUN000877|BugsPresence,1,,,,8580,7936
Aysgarth: Castle Dykes|COUN001656|S1,1,,,,2599,2357
Aysgarth: Castle Dykes|COUN001656|S2,,,,1,2599,1900
Aysgarth: Castle Dykes|COUN001656|S3,,,,1,2599,1900
Aysgarth: Castle Dykes|COUN001656|S4,,,,1,2599,1900
Aysgarth: Castle Dykes|COUN001656|S5,,,,1,2599,1900
Aysgarth: Castle Dykes|COUN001656|S6,1,,,,2697,2352
Azzio|COUN001637|BugsPresence,,,,1,400,0
Bagington: The Lunt|COUN000205|S1,,,1,,1886,1870
Bagnolo San Vito (Forcello)|COUN001618|BugsPresence,,,1,,2459,2444
Baja California|COUN001265|BugsPresence,,,,1,400,0
Balby Carr: Catesby Business Park|COUN001239|BugsPresence,,,,1,1907,1540
Balby Carr|COUN000831|S1087,1,,,,2308,1701
Balby Carr|COUN000831|S1088,1,,,,2308,1701
Balby Carr|COUN000831|S1141,1,,,,2308,1701
Balby Carr|COUN000831|S1148,1,,,,2308,1701
Ballyarnet Lake|COUN000864|BugsPresence,,,,1,4449,2549
Ballybean Archaeology|COUN001314|F002,,,,1,10000,0
Ballybean Archaeology|COUN001314|F006,,,,1,10000,0
Ballybean Archaeology|COUN001314|F007,,,,1,10000,0
Ballybean Archaeology|COUN001314|F008,,,,1,10000,0
Ballybean Archaeology|COUN001314|F011,,,,1,10000,0
Ballybean Archaeology|COUN001314|F024,,,,1,10000,0
Ballybean Archaeology|COUN001314|F042,,,,1,10000,0
Ballybean Archaeology|COUN001314|F043,,,,1,10000,0
Ballybean Archaeology|COUN001314|F044,,,,1,10000,0
Ballybean Archaeology|COUN001314|FO45,,,,1,10000,0
Bancroft|COUN000024|D343/2b,,,,1,1907,1540
Bancroft|COUN000024|D343/2t,,,,1,1907,1540
Bancroft|COUN000024|F9,,,,1,1907,1540
Bancroft|COUN000024|Pit1167,,,,1,1907,1540
Bancroft|COUN000024|Pit1168,,,,1,1907,1540
Bancroft|COUN000024|S343/2/1,,,,1,1907,1540
Bancroft|COUN000024|S343/2/2,,,,1,1907,1540
Banwell Moor|COUN000025|F2,,,1,,1750,1650
Banwell Moor|COUN000025|F3,,,1,,1750,1650
Banwell Moor|COUN000025|F6,,,1,,1750,1650
Barford Saint Martin|COUN000026|S1,,,1,,550,450
Barford Saint Martin|COUN000026|S2,,,1,,550,450
Barmby on the Marsh|COUN001475|S21317,,,,,,
Barmby on the Marsh|COUN001475|S21333a,,,1,,1750,1550
Barmby on the Marsh|COUN001475|S21333b,,,,,,
Barmby on the Marsh|COUN001475|S21352,,,,,,
Barmby on the Marsh|COUN001475|S24082,,,1,,1880,1750
Barmby on the Marsh|COUN001475|S24084,,,1,,1880,1750
Barnsley Park|COUN000028|S1,,,1,,1650,1550
Barton-upon-Humber: Glebe Farm|COUN000774|C376/7,,,1,,1600,1550
Barton Court Farm|COUN000387|Early_Saxon,,,,1,1540,884
Barton Court Farm|COUN000387|Late_Roman,,,,1,1907,1540
Barton Court Farm|COUN000387|Roman,,,,1,1907,1540
Barton Court Farm|COUN000387|S1035,,,,1,1907,1540
Barton Court Farm|COUN000387|S2,,,,1,1907,1540
Barton Court Farm|COUN000387|Saxon,,,,1,1540,884
Bawit|COUN001109|BugsPresence,,,,1,1540,500
Bearsden|COUN000037|S1,,,1,,1808,1792
Bearsden|COUN001547|Rampart,,,1,,1808,1792
Bearsden|COUN001547|S1,,,1,,1808,1792
Bearsden|COUN001547|S2,,,1,,1808,1792
Bearsden|COUN001547|S3,,,1,,1808,1792
Bearsden|COUN001547|S4,,,1,,1808,1792
Bearsden|COUN001547|S5,,,1,,1808,1792
Bearsden|COUN001547|S6,,,1,,1808,1792
Bearsden|COUN001547|S7,,,1,,1808,1792
Bearsden|COUN001548|S1,,,1,,1808,1792
Bearsden|COUN001548|S2,,,1,,1808,1792
Bearsden|COUN001548|S3,,,1,,1808,1792
Bearsden|COUN001548|S4,,,1,,1808,1792
Bearsden|COUN001548|S5,,,1,,1808,1792
Bearsden|COUN001548|S6,,,1,,1808,1792
Bearsden|COUN001548|S7,,,1,,1808,1792
Bearsden|COUN001548|S8,,,1,,1808,1792
Bearsden|COUN001549|mid,,,1,,1808,1792
Bearsden|COUN001549|top,,,1,,1808,1792
Bearsden|COUN001550|S1,,,1,,1808,1792
Bearsden|COUN001550|S2,,,1,,1808,1792
Bearsden|COUN001551|S1,,,1,,1808,1540
Bearsden|COUN001551|S2,,,1,,1808,1540
Bearsden|COUN001551|S3,,,1,,1808,1540
Bearsden|COUN001551|S4,,,1,,1808,1540
Bearsden|COUN001551|S5,,,1,,1808,1540
Bearsden|COUN001552|S1,,,1,,1808,1540
Beccles|COUN001466|BugsPresence,,,,1,2199,1907
Bedford: Empire Cinema Site|COUN001497|Fn100,,,,1,1550,400
Bedford: Empire Cinema Site|COUN001497|Fn116,,,,1,1550,400
Bedford: Empire Cinema Site|COUN001497|Fn123,,,,1,1550,400
Bedford: Empire Cinema Site|COUN001497|Fn124,,,,1,1550,400
Bedford: Empire Cinema Site|COUN001497|Fn154,,,,1,1550,400
Bedford: Empire Cinema Site|COUN001497|Fn96,,,,1,1550,400
Beeston Castle|COUN000521|S1,,,,1,1550,400
Belverde|COUN001191|BugsPresence,,,,1,6449,3649
Berinsfield|COUN001348|162/22,,,,1,2949,2599
Berinsfield|COUN001348|162/27,,,,1,4449,2549
Berinsfield|COUN001348|605,,,,1,1907,1540
Berinsfield|COUN001348|674,,,,1,1907,1540
Berinsfield|COUN001348|789,,,,1,1907,1540
Berinsfield|COUN001348|82,,,,1,1540,884
Bessastadir|COUN000039|S10,,,,1,1082,400
Bessastadir|COUN000039|S11,,,,1,1082,400
Bessastadir|COUN000039|S12,,,,1,1082,400
Bessastadir|COUN000039|S14,,,,1,1082,400
Bessastadir|COUN000039|S15,,,,1,1082,400
Bessastadir|COUN000039|S17,,,,1,1082,400
Bessastadir|COUN000039|S18,,,,1,1082,400
Bessastadir|COUN000039|S19,,,1,,950,851
Bessastadir|COUN001139|E/L1/103,,,,,,
Bessastadir|COUN001139|E/L2/240,,,,,,
Bessastadir|COUN001139|E/L2a/145,,,,,,
Bessastadir|COUN001139|E/L2b/191,,,,,,
Bessastadir|COUN001139|E/L4/251,,,,,,
Bessastadir|COUN001139|E/L4/830,,,,,,
Bessastadir|COUN001139|E/L4/856,,,,,,
Bessastadir|COUN001139|E/L5/240,,,,,,
Bessastadir|COUN001139|E/L5/244,,,,,,
Bessastadir|COUN001139|E/L5/244a,,,,,,
Bessastadir|COUN001139|E/L5/244b,,,,,,
Bessastadir|COUN001139|E/L7,,,,,,
Bessastadir|COUN001139|E/L7/775,,,,,,
Bessastadir|COUN001139|E/L7/783,,,,,,
Bessastadir|COUN001139|F2,,,,,,
Bessastadir|COUN001139|F2W,,,,,,
Bessastadir|COUN001139|F3/670,,,,,,
Bessastadir|COUN001139|GC,,,,,,
Bessastadir|COUN001139|L2/123,,,,,,
Bessastadir|COUN001139|L2/683,,,,,,
Bessastadir|COUN001139|L3/683,,,,,,
Bessastadir|COUN001139|L3/705,,,,,,
Bessastadir|COUN001139|S702/B1,,,,,,
Bessastadir|COUN001139|S706/F1,,,,,,
Bessastadir|COUN001139|S712/C2,,,,,,
Bessastadir|COUN001139|S716/G2,,,,,,
Bessastadir|COUN001139|S722/D3,,,,,,
Bessastadir|COUN001139|S723,,,,,,
Bessastadir|COUN001139|S723/ES,,,,,,
Bessastadir|COUN001139|S726/H3,,,,,,
Bessastadir|COUN001139|S727,,,,,,
Bessastadir|COUN001139|S727/I3,,,,,,
Bessastadir|COUN001139|S741,,,,,,
Bessastadir|COUN001139|S741/E5,,,,,,
Bessastadir|COUN001139|S743,,,,,,
Bessastadir|COUN001139|S743/G5,,,,,,
Bessastadir|COUN001139|S751/F6,,,,,,
Bessastadir|COUN001139|S756/C7,,,,,,
Bessastadir|COUN001139|S770/C9,,,,,,
Bessastadir|COUN001139|S772/E9,,,,,,
Bessastadir|COUN001139|S774/C9,,,,,,
Bessastadir|COUN001139|S780/F10,,,,,,
Bessastadir|COUN001139|S784,,,,,,
Bessastadir|COUN001139|S784/C12,,,,,,
Bessastadir|COUN001139|S784/E11,,,,,,
Bessastadir|COUN001139|S789/sod,,,,,,
Beverley: Dominican Priory|COUN000389|C163,,,1,,850,550
Beverley: Dominican Priory|COUN000389|C164,,,1,,850,550
Beverley: Dominican Priory|COUN000389|C167,,,1,,850,550
Beverley: Dominican Priory|COUN000389|C185,,,1,,850,550
Beverley: Dominican Priory|COUN000389|C225,,,1,,850,550
Beverley: Dominican Priory|COUN000389|C229,,,1,,850,550
Beverley: Dominican Priory|COUN000790|BugsPresence,,,,,,
Beverley: Dyer Lane|COUN001159|S1,,,1,,850,751
Beverley: Highgate|COUN000040|S1,,,,1,1550,400
Beverley: Jack Taylor Lane|COUN000902|BugsPresence,,,,1,1550,400
Beverley: Keldgate 52|COUN001218|C1006,,,,1,1550,400
Beverley: Keldgate 52|COUN001218|C2087,,,,1,1550,400
Beverley: Keldgate 52|COUN001218|C2088,,,,1,1550,400
Beverley: Keldgate|COUN000958|BugsPresence,,,,1,1550,400
Beverley: Magistrates Court|COUN001212|C1063,,,1,,800,750
Beverley: Magistrates Court|COUN001212|C1066,,,1,,1550,850
Beverley: Magistrates Court|COUN001212|C1072,,,1,,800,750
Beverley: Morton Lane|COUN001135|69-73_Morton_Lane,,,,1,1550,400
Beverley: Morton Lane|COUN001135|Tesco_Site,,,,1,1550,400
Beverley: Waterside Road|COUN001219|C1084,,,,1,1907,1540
Biggins|COUN000042|H1,,,1,,20,0
Biggins|COUN000042|H12,,,1,,550,350
Biggins|COUN000042|JL50,,,1,,550,350
Biggins|COUN000042|K8,,,1,,350,350
Biggins|COUN000042|K98,,,1,,550,350
Biggins|COUN000042|PL133,,,1,,300,300
Biggins|COUN000042|PL152,,,1,,300,300
Birmingham: Bull Ring|COUN001395|C1011,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C1012,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C2036,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C2087,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C2225,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C2227,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C3004,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C3044,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C3058,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C3065,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C3108,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C4031,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C4032,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C4063,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C5043,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C5051,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C5110,,,1,,850,551
Birmingham: Bull Ring|COUN001395|C5402,,,1,,850,551
Birmingham: Bull Ring|COUN001396|C1213,,,,1,1550,400
Birmingham: Bull Ring|COUN001396|C1246,,,,1,1550,400
Birmingham: Bull Ring|COUN001396|C1519,,,,1,1550,400
Birmingham: Bull Ring|COUN001396|C1546,,,,1,1550,400
Birmingham: Bull Ring|COUN001396|C1657,,,,1,1550,400
Birmingham: Bull Ring|COUN001396|C1835,,,,1,1550,400
Birmingham: Bull Ring|COUN001396|C1864,,,,1,1550,400
Birmingham: Bull Ring|COUN001396|C1871,,,,1,1550,400
Birmingham: Moat|COUN000044|s1,,,1,,500,250
Bishops Cleeve|COUN001253|C1072,,,,1,1550,400
Bishops Cleeve|COUN001253|C1092,,,,1,1550,400
Björsjöås|COUN000045|K1,,,,1,1550,400
Björsjöås|COUN000045|K10,,,,1,1550,400
Björsjöås|COUN000045|K2,,,,1,1550,400
Björsjöås|COUN000045|K3,,,,1,1550,400
Björsjöås|COUN000045|K4,,,,1,1550,400
Björsjöås|COUN000045|K5,,,,1,1550,400
Björsjöås|COUN000045|K6,,,,1,1550,400
Björsjöås|COUN000045|K7,,,,1,1550,400
Björsjöås|COUN000045|K8,,,,1,1550,400
Björsjöås|COUN000045|K9,,,,1,1550,400
Bolton Hall|COUN001223|C2012,,,1,,410,410
Bolton Hall|COUN001223|C2016,,,,1,1550,400
Bolton Hall|COUN001223|C4055,1,,,,2308,1821
Bordesley Abbey|COUN000599|BugsPresence,,,,1,1550,400
Boreham: Great Holts Farm|COUN000622|S1,,,,1,1907,1540
Boscoreale|COUN001647|BugsPresence,,,1,,1871,1871
Boston Spa|COUN001048|BugsPresence,,,,1,400,0
Boston|COUN000048|S1,,,1,,350,251
Braintree: Rayne Roundabout|COUN001583|C350,,,1,,1907,1880
Brechin|COUN001252|pit_57,,,,1,1550,400
Breiddin|COUN000393|B-A,,,,1,2599,1900
Breiddin|COUN000393|B62/1,,,,1,2599,1900
Breiddin|COUN000393|B62/10,,,,1,2599,1900
Breiddin|COUN000393|B62/11,,,,1,2599,1900
Breiddin|COUN000393|B62/12,,,,1,2599,1900
Breiddin|COUN000393|B62/13,,,,1,2599,1900
Breiddin|COUN000393|B62/14,,,,1,2599,1900
Breiddin|COUN000393|B62/15,,,,1,2599,1900
Breiddin|COUN000393|B62/2,,,,1,2599,1900
Breiddin|COUN000393|B62/3,,,,1,2599,1900
Breiddin|COUN000393|B62/4,,,,1,2599,1900
Breiddin|COUN000393|B62/5,,,,1,6449,1540
Breiddin|COUN000393|B62/7,,,,1,2599,1900
Breiddin|COUN000393|B62/8,,,,1,2599,1900
Breiddin|COUN000393|B62/9,,,,1,2599,1900
Breiddin|COUN000393|B64/10,,,,1,2599,1900
Breiddin|COUN000393|B64/11,,,,1,2599,1900
Breiddin|COUN000393|B64/15,,,,1,2599,1900
Breiddin|COUN000393|B64/17,,,,1,2599,1900
Breiddin|COUN000393|B64/18,,,,1,2599,1900
Breiddin|COUN000393|B64/19,,,,1,2599,1900
Breiddin|COUN000393|B64/20,,,,1,2599,1900
Breiddin|COUN000393|B64/21,,,,1,2599,1900
Breiddin|COUN000393|B64/23,,,,1,2599,1900
Breiddin|COUN000393|B64/25,,,,1,2599,1900
Breiddin|COUN000393|B64/26,,,,1,2599,1900
Breiddin|COUN000393|B64/6,,,,1,2599,1900
Breiddin|COUN000393|B64/9,,,,1,2599,1900
Breiddin|COUN000393|B64A/180,,,,1,2599,1900
Breiddin|COUN000393|B64A/245,,,,1,2599,1900
Breiddin|COUN000393|B64A/290,,,,1,2599,1900
Breiddin|COUN000393|B64A/295,,,,1,2599,1900
Breiddin|COUN000393|B64A/300,,,,1,2599,1900
Breiddin|COUN000393|B64A/305,,,,1,2599,1900
Breiddin|COUN000393|B64A/310,,,,1,2599,1900
Breiddin|COUN000393|BB62/6,,,,1,2599,1900
Breiddin|COUN000393|Bowl/b,,,,1,2599,1900
Breiddin|COUN000393|Bowl/m,,,,1,2599,1900
Breiddin|COUN000393|Bowl/t,,,,1,2599,1900
Breiddin|COUN000393|C3-C1,,,,1,2599,1900
Breiddin|COUN000393|Cistern,,,,1,2599,1900
Breiddin|COUN000393|D-C4,,,,1,2599,1900
Breiddin|COUN000393|E,,,,1,2599,1900
Breiddin|COUN000393|G-E/D,,,,1,2599,1900
Breiddin|COUN000393|P6421/20,,,,1,2599,1900
Breiddin|COUN000393|P6421/21,,,,1,2599,1900
Breiddin|COUN000393|Pit 6252,,,,1,2599,1900
Breiddin|COUN000834|B64/10,,,,,,
Breiddin|COUN000834|B64/11,,,,,,
Breiddin|COUN000834|B64/15,,,,,,
Breiddin|COUN000834|B64/17,,,,,,
Breiddin|COUN000834|B64/18,,,,,,
Breiddin|COUN000834|B64/19,,,,,,
Breiddin|COUN000834|B64/20,,,,,,
Breiddin|COUN000834|B64/21,,,,,,
Breiddin|COUN000834|B64/23,,,,,,
Breiddin|COUN000834|B64/25,,,,,,
Breiddin|COUN000834|B64/26,,,,,,
Breiddin|COUN000834|B64/6,,,,,,
Breiddin|COUN000834|B64/9,,,,,,
Breiddin|COUN000836|bottom,,,,,,
Breiddin|COUN000836|middle,,,,,,
Breiddin|COUN000836|top,,,,,,
Brigg|COUN000461|BugsPresence,,,,,,
Brigg|COUN000461|S0-5cm,,,,1,4449,2549
Brigg|COUN000461|S10-15cm,,,,1,4449,2549
Brigg|COUN000461|S100-105cm,,,,1,4449,2549
Brigg|COUN000461|S1024,,,,1,4449,2549
Brigg|COUN000461|S1025,,,,1,4449,2549
Brigg|COUN000461|S1027,,,,1,4449,2549
Brigg|COUN000461|S1028,,,,1,4449,2549
Brigg|COUN000461|S105-110cm,,,,1,4449,2549
Brigg|COUN000461|S1051,,,,1,4449,2549
Brigg|COUN000461|S1056,,,,1,4449,2549
Brigg|COUN000461|S1057,,,,1,4449,2549
Brigg|COUN000461|S1068,,,,1,4449,2549
Brigg|COUN000461|S1069,,,,1,4449,2549
Brigg|COUN000461|S1070,,,,1,4449,2549
Brigg|COUN000461|S1087,,,,1,4449,2549
Brigg|COUN000461|S1088,,,,1,4449,2549
Brigg|COUN000461|S110-115cm,,,,1,4449,2549
Brigg|COUN000461|S115-120cm,,,,1,4449,2549
Brigg|COUN000461|S15-20cm,,,,1,4449,2549
Brigg|COUN000461|S20-25cm,,,,1,4449,2549
Brigg|COUN000461|S25-30cm,,,,1,4449,2549
Brigg|COUN000461|S30-35cm,,,,1,4449,2549
Brigg|COUN000461|S35-40cm,,,,1,4449,2549
Brigg|COUN000461|S40-45cm,,,,1,4449,2549
Brigg|COUN000461|S45-50cm,,,,1,4449,2549
Brigg|COUN000461|S5-10cm,,,,1,4449,2549
Brigg|COUN000461|S50-55cm,,,,1,4449,2549
Brigg|COUN000461|S55-60cm,,,,1,4449,2549
Brigg|COUN000461|S60-65cm,,,,1,4449,2549
Brigg|COUN000461|S65-70cm,,,,1,4449,2549
Brigg|COUN000461|S70-75cm,,,,1,4449,2549
Brigg|COUN000461|S75-80cm,,,,1,4449,2549
Brigg|COUN000461|S80-85cm,,,,1,4449,2549
Brigg|COUN000461|S85-90cm,,,,1,4449,2549
Brigg|COUN000461|S90-95cm,,,,1,4449,2549
Brigg|COUN000461|S95-100cm,,,,1,4449,2549
Bristol: Finzels Reach|COUN001661|1007,,,,,,
Bristol: Finzels Reach|COUN001661|10123,,,,,,
Bristol: Finzels Reach|COUN001661|11012,,,,,,
Bristol: Finzels Reach|COUN001661|1165,,,,,,
Bristol: Finzels Reach|COUN001661|1239,,,,,,
Bristol: Finzels Reach|COUN001661|1400,,,,,,
Bristol: Finzels Reach|COUN001661|2259,,,,,,
Bristol: Finzels Reach|COUN001661|3769,,,,,,
Bristol: Finzels Reach|COUN001661|4214,,,,,,
Bristol: Finzels Reach|COUN001661|4365,,,,,,
Bristol: Finzels Reach|COUN001661|4429,,,,,,
Bristol: Finzels Reach|COUN001661|4432,,,,,,
Bristol: Finzels Reach|COUN001661|4472,,,,,,
Bristol: Finzels Reach|COUN001661|4548,,,,,,
Bristol: Finzels Reach|COUN001661|4596,,,,,,
Bristol: Finzels Reach|COUN001661|4720,,,,,,
Bristol: Finzels Reach|COUN001661|4760,,,,,,
Bristol: Finzels Reach|COUN001661|4817,,,,,,
Bristol: Finzels Reach|COUN001661|4847,,,,,,
Bristol: Finzels Reach|COUN001661|4848,,,,,,
Bristol: Finzels Reach|COUN001661|4874,,,,,,
Bristol: Finzels Reach|COUN001661|4877,,,,,,
Bristol: Finzels Reach|COUN001661|5209,,,,,,
Bristol: Finzels Reach|COUN001661|6019,,,,,,
Bristol: Finzels Reach|COUN001661|6021,,,,,,
Bristol: Finzels Reach|COUN001661|6054,,,,,,
Bristol: Finzels Reach|COUN001661|7027,,,,,,
Bristol: Finzels Reach|COUN001661|7040,,,,,,
Bristol: Finzels Reach|COUN001661|7122,,,,,,
Bristol: Finzels Reach|COUN001661|7123,,,,,,
Bristol: Finzels Reach|COUN001661|7262,,,,,,
Bristol: Finzels Reach|COUN001661|7331,,,,,,
Bristol: Finzels Reach|COUN001661|7332,,,,,,
Bristol: Finzels Reach|COUN001661|7333,,,,,,
Bristol: Finzels Reach|COUN001661|7339,,,,,,
Bristol: Finzels Reach|COUN001661|7402,,,,,,
Bristol: Finzels Reach|COUN001661|7487,,,,,,
Bristol: St. Bartholomew's Hospital|COUN000054|S1,,,,1,1550,400
Broomfleet|COUN001233|C1004,,,,1,5000,0
Brough on Humber|COUN000883|BugsPresence,,,,1,1907,1540
Brugge: Sint-Andries|COUN001073|BugsPresence,,,,1,2005,1500
Buiston|COUN000396|F10,,,,1,2599,1250
Buiston|COUN000396|F105,,,,1,2599,1250
Buiston|COUN000396|F108,,,,1,2599,1250
Buiston|COUN000396|F110,,,,1,2599,1250
Buiston|COUN000396|F115,,,,1,2599,1250
Buiston|COUN000396|F117,,,,1,2599,1250
Buiston|COUN000396|F119,,,,1,2599,1900
Buiston|COUN000396|F12,,,,1,2599,1250
Buiston|COUN000396|F121,,,,1,2599,1250
Buiston|COUN000396|F126,,,,1,2599,1250
Buiston|COUN000396|F13,,,,1,2599,1250
Buiston|COUN000396|F14,,,,1,2599,1250
Buiston|COUN000396|F15,,,,1,2599,1250
Buiston|COUN000396|F19,,,,1,2599,1250
Buiston|COUN000396|F20,,,,1,2599,1250
Buiston|COUN000396|F207,,,,1,2599,1250
Buiston|COUN000396|F21,,,,1,2599,1250
Buiston|COUN000396|F213,,,,1,2599,1250
Buiston|COUN000396|F215,,,,1,2599,1250
Buiston|COUN000396|F22,,,,1,2599,1250
Buiston|COUN000396|F223,,,,1,2599,1250
Buiston|COUN000396|F224,,,,1,2599,1250
Buiston|COUN000396|F226,,,,1,2599,1250
Buiston|COUN000396|F227,,,,1,2599,1250
Buiston|COUN000396|F233,,,,1,2599,1250
Buiston|COUN000396|F234,,,,1,2599,1250
Buiston|COUN000396|F238,,,,1,2599,1250
Buiston|COUN000396|F239,,,,1,2599,1250
Buiston|COUN000396|F29,,,,1,2599,1250
Buiston|COUN000396|F301,,,,1,2599,1250
Buiston|COUN000396|F306,,,,1,2599,1250
Buiston|COUN000396|F308,,,,1,2599,1250
Buiston|COUN000396|F312,,,,1,2599,1250
Buiston|COUN000396|F316,,,,1,2599,1250
Buiston|COUN000396|F325,,,,1,2599,1250
Buiston|COUN000396|F326,,,,1,2599,1250
Buiston|COUN000396|F327,,,,1,2599,1250
Buiston|COUN000396|F339,,,,1,2599,1250
Buiston|COUN000396|F341,,,,1,2599,1250
Buiston|COUN000396|F351,,,,1,2599,1250
Buiston|COUN000396|F39,,,,1,2599,1250
Buiston|COUN000396|F40,,,,1,2599,1250
Buiston|COUN000396|F41,,,,1,2599,1250
Buiston|COUN000396|F45,,,,1,2599,1250
Buiston|COUN000396|F5,,,,1,2599,1250
Buiston|COUN000396|F52,,,,1,2599,1250
Buiston|COUN000396|F59,,,,1,2599,1250
Buiston|COUN000396|F6,,,,1,2599,1250
Buiston|COUN000396|F60,,,,1,2599,1250
Buiston|COUN000396|F62,,,,1,2599,1250
Buiston|COUN000396|F64/65,,,,1,2599,1250
